product_primary_name,processing_periods_name,facility_type_name,quantity_requested,quantity_approved,pack_size,dispensing_unit,allocation_gap
ART-SUP,2025-05-01,HEALTH CENTER,,742.0,2,CAPSULE,742.0
SP,2025-08-01,HEALTH CENTER,,92.0,1000,TABLET,92.0
ACT-INF,2024-08-01,HEALTH CENTER,810.0,444.0,30,BLISTER,-366.0
ACT-INF,2025-05-01,HEALTH CENTER,,25.0,30,BLISTER,25.0
ACT-AD,2025-05-01,HEALTH CENTER,,10.0,30,BLISTER,10.0
PYRA-COMP,2025-08-01,HEALTH CENTER,,16.0,1,TABLET,16.0
ACT-INF,2025-11-01,HEALTH CENTER,575.0,2086.0,30,BLISTER,1511.0
PYRA-COMP,2025-11-01,HEALTH CENTER,,951.0,1,TABLET,951.0
QUIN,2025-05-01,HEALTH CENTER,,65.0,1000,TABLET,65.0
ACT-AD,2024-11-01,DISTRICT HOSPITAL,,13294.0,30,BLISTER,13294.0
ART-INJ,2025-05-01,HEALTH CENTER,,35.0,5,VIAL,35.0
PYRA-COMP,2024-05-01,HEALTH CENTER,1606.0,230.0,1,TABLET,-1376.0
ART-INJ,2025-02-01,HEALTH CENTER,,1155.0,5,VIAL,1155.0
ACT-AD,2024-05-01,HEALTH CENTER,,154.0,30,BLISTER,154.0
QUIN,2024-08-01,HEALTH CENTER,,153.0,1000,TABLET,153.0
ACT-INF,2025-08-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
RDT,2024-05-01,HEALTH CENTER,,0.0,25,PIECE,0.0
ACT-INF,2024-11-01,HEALTH CENTER,,11.0,30,BLISTER,11.0
ACT-GC,2025-02-01,HEALTH CENTER,983.0,3.0,30,BLISTER,-980.0
PYRA-SAC,2024-02-01,HEALTH CENTER,,114.0,1,SACHET,114.0
ACT-SC,2024-05-01,HEALTH CENTER,,728.0,30,BLISTER,728.0
ART-SUP,2024-08-01,HEALTH CENTER,,9039.0,2,CAPSULE,9039.0
ACT-SC,2025-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
PYRA-COMP,2024-02-01,HEALTH CENTER,,7.0,1,TABLET,7.0
ITN,2024-02-01,HEALTH CENTER,1958.0,42.0,50,PIECE,-1916.0
RDT,2024-02-01,HEALTH CENTER,,1841.0,25,PIECE,1841.0
SP,2025-08-01,HEALTH CENTER,,5.0,1000,TABLET,5.0
ACT-INF,2024-11-01,HEALTH CENTER,,2447.0,30,BLISTER,2447.0
ART-SUP,2024-11-01,HEALTH CENTER,,0.0,2,CAPSULE,0.0
SP,2025-05-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
ACT-SC,2025-11-01,HEALTH CENTER,,1372.0,30,BLISTER,1372.0
ACT-AD,2024-02-01,HEALTH CENTER,,31.0,30,BLISTER,31.0
ART-SUP,2025-05-01,HEALTH CENTER,,26.0,2,CAPSULE,26.0
SP,2025-11-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
SP,2024-08-01,HEALTH CENTER,,148.0,1000,TABLET,148.0
ART-SUP,2024-11-01,HEALTH CENTER,777.0,7.0,2,CAPSULE,-770.0
QUIN,2024-05-01,HEALTH CENTER,291.0,0.0,1000,TABLET,-291.0
SP,2025-02-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
ART-SUP,2024-05-01,HEALTH CENTER,,0.0,2,CAPSULE,0.0
PYRA-COMP,2025-02-01,HEALTH CENTER,356.0,1.0,1,TABLET,-355.0
PYRA-COMP,2024-02-01,HEALTH CENTER,,8.0,1,TABLET,8.0
SP,2025-02-01,HEALTH CENTER,,239.0,1000,TABLET,239.0
RDT,2024-08-01,HEALTH CENTER,1866.0,258.0,25,PIECE,-1608.0
ART-SUP,2024-02-01,HEALTH CENTER,757.0,488.0,2,CAPSULE,-269.0
RDT,2024-11-01,HEALTH CENTER,,135.0,25,PIECE,135.0
ACT-GC,2024-02-01,HEALTH CENTER,,8.0,30,BLISTER,8.0
ACT-GC,2025-11-01,HEALTH CENTER,,42.0,30,BLISTER,42.0
ART-INJ,2024-11-01,HEALTH CENTER,,175.0,5,VIAL,175.0
RDT,2025-05-01,HEALTH CENTER,,16.0,25,PIECE,16.0
ART-INJ,2025-11-01,DISTRICT HOSPITAL,,0.0,5,VIAL,0.0
QUIN,2024-11-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
ACT-SC,2024-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ART-INJ,2025-08-01,HEALTH CENTER,,0.0,5,VIAL,0.0
PYRA-SAC,2025-08-01,HEALTH CENTER,,1742.0,1,SACHET,1742.0
ART-INJ,2024-05-01,DISTRICT HOSPITAL,,0.0,5,VIAL,0.0
SP,2025-08-01,HEALTH CENTER,,33.0,1000,TABLET,33.0
PYRA-SAC,2024-05-01,HEALTH CENTER,481.0,6.0,1,SACHET,-475.0
SP,2025-02-01,REGIONAL HOSPITAL,,114.0,1000,TABLET,114.0
ACT-AD,2024-02-01,HEALTH CENTER,358.0,36.0,30,BLISTER,-322.0
PYRA-COMP,2024-05-01,HEALTH CENTER,,0.0,1,TABLET,0.0
ITN,2024-05-01,HEALTH CENTER,598.0,819.0,50,PIECE,221.0
ACT-AD,2024-02-01,REGIONAL HOSPITAL,,228.0,30,BLISTER,228.0
ACT-AD,2024-05-01,HEALTH CENTER,200.0,9.0,30,BLISTER,-191.0
ITN,2024-05-01,HEALTH CENTER,,24.0,50,PIECE,24.0
RDT,2025-11-01,HEALTH CENTER,,158.0,25,PIECE,158.0
ACT-GC,2025-02-01,HEALTH CENTER,,107.0,30,BLISTER,107.0
PYRA-SAC,2025-08-01,HEALTH CENTER,371.0,0.0,1,SACHET,-371.0
ACT-AD,2025-11-01,HEALTH CENTER,,161.0,30,BLISTER,161.0
RDT,2025-02-01,HEALTH CENTER,,2044.0,25,PIECE,2044.0
ACT-GC,2025-02-01,HEALTH CENTER,,4475.0,30,BLISTER,4475.0
ACT-AD,2025-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-GC,2024-08-01,HEALTH CENTER,,1.0,30,BLISTER,1.0
ART-INJ,2024-02-01,HEALTH CENTER,,4.0,5,VIAL,4.0
ART-INJ,2024-05-01,DISTRICT HOSPITAL,,0.0,5,VIAL,0.0
ACT-SC,2025-08-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ART-INJ,2024-02-01,HEALTH CENTER,,5736.0,5,VIAL,5736.0
ART-SUP,2025-08-01,HEALTH CENTER,,985.0,2,CAPSULE,985.0
RDT,2025-11-01,HEALTH CENTER,,3562.0,25,PIECE,3562.0
ACT-GC,2024-05-01,HEALTH CENTER,,85.0,30,BLISTER,85.0
SP,2024-05-01,HEALTH CENTER,,120.0,1000,TABLET,120.0
ART-SUP,2024-11-01,HEALTH CENTER,,846.0,2,CAPSULE,846.0
ITN,2025-02-01,HEALTH CENTER,,223.0,50,PIECE,223.0
SP,2024-02-01,HEALTH CENTER,,2305.0,1000,TABLET,2305.0
PYRA-COMP,2024-05-01,HEALTH CENTER,250.0,210.0,1,TABLET,-40.0
ACT-SC,2025-08-01,HEALTH CENTER,,11.0,30,BLISTER,11.0
ACT-SC,2025-08-01,HEALTH CENTER,,414.0,30,BLISTER,414.0
SP,2024-08-01,HEALTH CENTER,167.0,0.0,1000,TABLET,-167.0
ACT-AD,2024-08-01,HEALTH CENTER,546.0,1029.0,30,BLISTER,483.0
RDT,2024-08-01,HEALTH CENTER,,2134.0,25,PIECE,2134.0
PYRA-SAC,2024-02-01,DISTRICT HOSPITAL,,1.0,1,SACHET,1.0
ACT-GC,2025-02-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ART-INJ,2024-08-01,HEALTH CENTER,,89.0,5,VIAL,89.0
SP,2025-02-01,HEALTH CENTER,686.0,0.0,1000,TABLET,-686.0
ACT-SC,2024-08-01,HEALTH CENTER,749.0,0.0,30,BLISTER,-749.0
ACT-INF,2025-02-01,HEALTH CENTER,1189.0,1603.0,30,BLISTER,414.0
QUIN,2024-08-01,HEALTH CENTER,,162.0,1000,TABLET,162.0
ITN,2025-08-01,HEALTH CENTER,,6415.0,50,PIECE,6415.0
QUIN,2025-02-01,HEALTH CENTER,,3.0,1000,TABLET,3.0
PYRA-COMP,2024-05-01,HEALTH CENTER,,1.0,1,TABLET,1.0
ART-INJ,2024-08-01,HEALTH CENTER,,10.0,5,VIAL,10.0
QUIN,2025-05-01,HEALTH CENTER,190.0,0.0,1000,TABLET,-190.0
RDT,2024-11-01,HEALTH CENTER,,1.0,25,PIECE,1.0
QUIN,2025-02-01,HEALTH CENTER,,2.0,1000,TABLET,2.0
ACT-SC,2024-11-01,HEALTH CENTER,,1.0,30,BLISTER,1.0
ACT-AD,2025-11-01,HEALTH CENTER,,3351.0,30,BLISTER,3351.0
QUIN,2025-05-01,HEALTH CENTER,,1670.0,1000,TABLET,1670.0
RDT,2024-11-01,HEALTH CENTER,,707.0,25,PIECE,707.0
QUIN,2025-02-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
PYRA-SAC,2025-05-01,HEALTH CENTER,1260.0,1702.0,1,SACHET,442.0
ACT-GC,2025-11-01,HEALTH CENTER,,354.0,30,BLISTER,354.0
ACT-SC,2024-11-01,HEALTH CENTER,848.0,6256.0,30,BLISTER,5408.0
ACT-INF,2025-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-INF,2024-02-01,HEALTH CENTER,,3.0,30,BLISTER,3.0
ACT-INF,2025-11-01,DISTRICT HOSPITAL,641.0,110.0,30,BLISTER,-531.0
ART-INJ,2025-08-01,HEALTH CENTER,,9022.0,5,VIAL,9022.0
ART-INJ,2024-02-01,HEALTH CENTER,,305.0,5,VIAL,305.0
ACT-SC,2025-11-01,HEALTH CENTER,366.0,816.0,30,BLISTER,450.0
ACT-INF,2024-02-01,HEALTH CENTER,683.0,45.0,30,BLISTER,-638.0
ART-SUP,2024-02-01,HEALTH CENTER,555.0,2.0,2,CAPSULE,-553.0
ITN,2025-08-01,HEALTH CENTER,192.0,23.0,50,PIECE,-169.0
QUIN,2025-05-01,HEALTH CENTER,,31.0,1000,TABLET,31.0
RDT,2024-02-01,HEALTH CENTER,,69.0,25,PIECE,69.0
ACT-SC,2024-02-01,HEALTH CENTER,,1.0,30,BLISTER,1.0
ACT-SC,2024-02-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-AD,2024-08-01,HEALTH CENTER,1500.0,0.0,30,BLISTER,-1500.0
RDT,2024-05-01,HEALTH CENTER,,159.0,25,PIECE,159.0
RDT,2024-11-01,HEALTH CENTER,,1196.0,25,PIECE,1196.0
ACT-AD,2025-11-01,HEALTH CENTER,,2.0,30,BLISTER,2.0
ART-SUP,2025-05-01,DISTRICT HOSPITAL,1412.0,0.0,2,CAPSULE,-1412.0
ITN,2025-05-01,HEALTH CENTER,458.0,3.0,50,PIECE,-455.0
ACT-GC,2025-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ITN,2025-11-01,HEALTH CENTER,116.0,3.0,50,PIECE,-113.0
ART-SUP,2025-08-01,HEALTH CENTER,1141.0,214.0,2,CAPSULE,-927.0
RDT,2025-11-01,HEALTH CENTER,,2493.0,25,PIECE,2493.0
ART-INJ,2024-02-01,HEALTH CENTER,,7871.0,5,VIAL,7871.0
PYRA-SAC,2024-08-01,HEALTH CENTER,,31.0,1,SACHET,31.0
PYRA-SAC,2025-08-01,HEALTH CENTER,,611.0,1,SACHET,611.0
RDT,2024-05-01,HEALTH CENTER,,236.0,25,PIECE,236.0
ACT-AD,2024-02-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
QUIN,2024-05-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
ART-INJ,2025-05-01,HEALTH CENTER,,0.0,5,VIAL,0.0
SP,2025-02-01,HEALTH CENTER,,1.0,1000,TABLET,1.0
ACT-AD,2025-11-01,HEALTH CENTER,,46.0,30,BLISTER,46.0
RDT,2024-11-01,HEALTH CENTER,640.0,10.0,25,PIECE,-630.0
PYRA-COMP,2024-08-01,HEALTH CENTER,,184.0,1,TABLET,184.0
ACT-GC,2024-02-01,HEALTH CENTER,,2273.0,30,BLISTER,2273.0
ART-INJ,2024-11-01,DISTRICT HOSPITAL,,1385.0,5,VIAL,1385.0
ACT-GC,2024-02-01,HEALTH CENTER,488.0,100.0,30,BLISTER,-388.0
PYRA-SAC,2025-05-01,HEALTH CENTER,2896.0,4012.0,1,SACHET,1116.0
QUIN,2024-05-01,DISTRICT HOSPITAL,,0.0,1000,TABLET,0.0
ART-INJ,2024-08-01,HEALTH CENTER,,4306.0,5,VIAL,4306.0
ACT-GC,2024-02-01,HEALTH CENTER,,14.0,30,BLISTER,14.0
ACT-SC,2025-08-01,HEALTH CENTER,1176.0,8466.0,30,BLISTER,7290.0
RDT,2025-11-01,HEALTH CENTER,,80.0,25,PIECE,80.0
ACT-INF,2025-02-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
PYRA-COMP,2025-08-01,HEALTH CENTER,984.0,4622.0,1,TABLET,3638.0
ART-INJ,2024-05-01,HEALTH CENTER,,129.0,5,VIAL,129.0
ACT-SC,2025-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
QUIN,2025-08-01,HEALTH CENTER,367.0,35.0,1000,TABLET,-332.0
PYRA-SAC,2025-08-01,DISTRICT HOSPITAL,,0.0,1,SACHET,0.0
RDT,2025-05-01,HEALTH CENTER,,140.0,25,PIECE,140.0
RDT,2024-02-01,HEALTH CENTER,553.0,4.0,25,PIECE,-549.0
PYRA-COMP,2025-08-01,HEALTH CENTER,,0.0,1,TABLET,0.0
ACT-GC,2024-05-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ITN,2025-11-01,HEALTH CENTER,694.0,73.0,50,PIECE,-621.0
ACT-SC,2024-05-01,DISTRICT HOSPITAL,1151.0,521.0,30,BLISTER,-630.0
ITN,2025-08-01,HEALTH CENTER,,223.0,50,PIECE,223.0
ACT-GC,2025-02-01,HEALTH CENTER,1902.0,6135.0,30,BLISTER,4233.0
ART-INJ,2025-08-01,HEALTH CENTER,,12.0,5,VIAL,12.0
ACT-INF,2024-05-01,HEALTH CENTER,,54.0,30,BLISTER,54.0
PYRA-SAC,2025-05-01,HEALTH CENTER,670.0,0.0,1,SACHET,-670.0
ART-SUP,2025-05-01,HEALTH CENTER,,569.0,2,CAPSULE,569.0
PYRA-SAC,2025-11-01,HEALTH CENTER,,0.0,1,SACHET,0.0
RDT,2024-08-01,HEALTH CENTER,,0.0,25,PIECE,0.0
ACT-AD,2025-05-01,HEALTH CENTER,,91.0,30,BLISTER,91.0
ITN,2025-02-01,HEALTH CENTER,,0.0,50,PIECE,0.0
ACT-INF,2024-05-01,HEALTH CENTER,,4.0,30,BLISTER,4.0
ACT-SC,2024-02-01,HEALTH CENTER,,6.0,30,BLISTER,6.0
SP,2025-05-01,HEALTH CENTER,,331.0,1000,TABLET,331.0
PYRA-SAC,2025-11-01,HEALTH CENTER,,682.0,1,SACHET,682.0
ACT-INF,2025-11-01,HEALTH CENTER,,2363.0,30,BLISTER,2363.0
ACT-INF,2025-11-01,HEALTH CENTER,,31.0,30,BLISTER,31.0
ART-INJ,2025-05-01,HEALTH CENTER,574.0,0.0,5,VIAL,-574.0
ACT-INF,2024-02-01,HEALTH CENTER,,22.0,30,BLISTER,22.0
ART-INJ,2024-11-01,HEALTH CENTER,,1.0,5,VIAL,1.0
ACT-AD,2024-02-01,HEALTH CENTER,967.0,0.0,30,BLISTER,-967.0
RDT,2025-05-01,HEALTH CENTER,612.0,176.0,25,PIECE,-436.0
ACT-AD,2024-11-01,HEALTH CENTER,,37.0,30,BLISTER,37.0
RDT,2024-11-01,HEALTH CENTER,,3970.0,25,PIECE,3970.0
ART-INJ,2025-08-01,HEALTH CENTER,,205.0,5,VIAL,205.0
QUIN,2024-02-01,HEALTH CENTER,,1670.0,1000,TABLET,1670.0
ACT-AD,2025-02-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-SC,2025-05-01,HEALTH CENTER,,126.0,30,BLISTER,126.0
ITN,2025-11-01,HEALTH CENTER,,82.0,50,PIECE,82.0
PYRA-SAC,2025-11-01,HEALTH CENTER,,0.0,1,SACHET,0.0
ART-INJ,2025-11-01,HEALTH CENTER,,185.0,5,VIAL,185.0
ACT-AD,2024-02-01,HEALTH CENTER,,2001.0,30,BLISTER,2001.0
SP,2024-08-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
PYRA-COMP,2025-05-01,HEALTH CENTER,,0.0,1,TABLET,0.0
ACT-INF,2025-02-01,HEALTH CENTER,535.0,0.0,30,BLISTER,-535.0
ART-SUP,2025-08-01,HEALTH CENTER,,24.0,2,CAPSULE,24.0
RDT,2025-05-01,DISTRICT HOSPITAL,,451.0,25,PIECE,451.0
ART-SUP,2024-05-01,HEALTH CENTER,,3453.0,2,CAPSULE,3453.0
SP,2025-08-01,DISTRICT HOSPITAL,374.0,0.0,1000,TABLET,-374.0
ITN,2025-08-01,HEALTH CENTER,,0.0,50,PIECE,0.0
ITN,2025-11-01,DISTRICT HOSPITAL,,282.0,50,PIECE,282.0
ART-INJ,2024-08-01,HEALTH CENTER,,127.0,5,VIAL,127.0
QUIN,2024-11-01,HEALTH CENTER,1300.0,37.0,1000,TABLET,-1263.0
ACT-INF,2024-11-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
QUIN,2024-02-01,HEALTH CENTER,,656.0,1000,TABLET,656.0
ACT-GC,2024-08-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
ACT-SC,2025-05-01,HEALTH CENTER,,23.0,30,BLISTER,23.0
ACT-GC,2025-02-01,HEALTH CENTER,,96.0,30,BLISTER,96.0
ACT-GC,2024-02-01,HEALTH CENTER,,11.0,30,BLISTER,11.0
ART-SUP,2025-05-01,HEALTH CENTER,,175.0,2,CAPSULE,175.0
RDT,2024-02-01,HEALTH CENTER,,637.0,25,PIECE,637.0
ART-SUP,2025-02-01,HEALTH CENTER,1234.0,0.0,2,CAPSULE,-1234.0
ACT-SC,2024-08-01,HEALTH CENTER,1087.0,877.0,30,BLISTER,-210.0
RDT,2024-02-01,HEALTH CENTER,,956.0,25,PIECE,956.0
ACT-INF,2024-11-01,HEALTH CENTER,,231.0,30,BLISTER,231.0
RDT,2024-02-01,HEALTH CENTER,,63.0,25,PIECE,63.0
RDT,2024-08-01,HEALTH CENTER,1365.0,0.0,25,PIECE,-1365.0
ACT-SC,2024-02-01,DISTRICT HOSPITAL,,521.0,30,BLISTER,521.0
ACT-GC,2025-02-01,HEALTH CENTER,,225.0,30,BLISTER,225.0
PYRA-COMP,2024-08-01,DISTRICT HOSPITAL,,2.0,1,TABLET,2.0
ACT-AD,2024-11-01,HEALTH CENTER,,83.0,30,BLISTER,83.0
SP,2024-02-01,HEALTH CENTER,,494.0,1000,TABLET,494.0
PYRA-COMP,2024-11-01,HEALTH CENTER,,10941.0,1,TABLET,10941.0
ACT-GC,2024-08-01,HEALTH CENTER,,16.0,30,BLISTER,16.0
PYRA-COMP,2024-08-01,HEALTH CENTER,,19.0,1,TABLET,19.0
SP,2024-08-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
PYRA-COMP,2024-02-01,HEALTH CENTER,1114.0,1477.0,1,TABLET,363.0
RDT,2024-02-01,DISTRICT HOSPITAL,,0.0,25,PIECE,0.0
SP,2024-11-01,HEALTH CENTER,,34.0,1000,TABLET,34.0
RDT,2024-05-01,HEALTH CENTER,,642.0,25,PIECE,642.0
QUIN,2024-08-01,HEALTH CENTER,,217.0,1000,TABLET,217.0
ACT-GC,2024-05-01,HEALTH CENTER,,1290.0,30,BLISTER,1290.0
ART-SUP,2024-11-01,HEALTH CENTER,,55.0,2,CAPSULE,55.0
PYRA-COMP,2025-05-01,HEALTH CENTER,,30.0,1,TABLET,30.0
QUIN,2024-05-01,HEALTH CENTER,278.0,2.0,1000,TABLET,-276.0
ART-INJ,2024-11-01,HEALTH CENTER,213.0,253.0,5,VIAL,40.0
ART-INJ,2024-05-01,HEALTH CENTER,,47.0,5,VIAL,47.0
ART-SUP,2025-02-01,REGIONAL HOSPITAL,,0.0,2,CAPSULE,0.0
ACT-AD,2025-08-01,HEALTH CENTER,,106.0,30,BLISTER,106.0
ART-INJ,2025-05-01,HEALTH CENTER,264.0,0.0,5,VIAL,-264.0
QUIN,2024-05-01,HEALTH CENTER,1908.0,8.0,1000,TABLET,-1900.0
ACT-SC,2025-02-01,HEALTH CENTER,,3298.0,30,BLISTER,3298.0
SP,2025-05-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
ART-SUP,2025-05-01,HEALTH CENTER,,2.0,2,CAPSULE,2.0
ACT-INF,2024-05-01,HEALTH CENTER,319.0,0.0,30,BLISTER,-319.0
SP,2024-08-01,HEALTH CENTER,,4.0,1000,TABLET,4.0
ITN,2025-08-01,HEALTH CENTER,748.0,30.0,50,PIECE,-718.0
ART-SUP,2024-11-01,HEALTH CENTER,,0.0,2,CAPSULE,0.0
QUIN,2024-11-01,HEALTH CENTER,902.0,2.0,1000,TABLET,-900.0
ACT-INF,2024-05-01,HEALTH CENTER,,97.0,30,BLISTER,97.0
PYRA-COMP,2025-08-01,HEALTH CENTER,,3.0,1,TABLET,3.0
ACT-INF,2024-08-01,HEALTH CENTER,,10.0,30,BLISTER,10.0
ACT-SC,2024-05-01,HEALTH CENTER,,108.0,30,BLISTER,108.0
ITN,2025-05-01,HEALTH CENTER,,2062.0,50,PIECE,2062.0
ITN,2025-08-01,HEALTH CENTER,,665.0,50,PIECE,665.0
SP,2024-02-01,HEALTH CENTER,,1762.0,1000,TABLET,1762.0
ITN,2024-11-01,HEALTH CENTER,,118.0,50,PIECE,118.0
ITN,2025-11-01,HEALTH CENTER,,83.0,50,PIECE,83.0
RDT,2025-08-01,HEALTH CENTER,,12.0,25,PIECE,12.0
SP,2024-05-01,HEALTH CENTER,,496.0,1000,TABLET,496.0
ACT-AD,2025-11-01,HEALTH CENTER,91.0,0.0,30,BLISTER,-91.0
ITN,2025-02-01,HEALTH CENTER,439.0,3388.0,50,PIECE,2949.0
PYRA-SAC,2025-08-01,HEALTH CENTER,,6546.0,1,SACHET,6546.0
SP,2024-08-01,HEALTH CENTER,445.0,0.0,1000,TABLET,-445.0
ACT-SC,2024-02-01,DISTRICT HOSPITAL,1183.0,10.0,30,BLISTER,-1173.0
QUIN,2024-11-01,HEALTH CENTER,213.0,0.0,1000,TABLET,-213.0
QUIN,2025-05-01,HEALTH CENTER,,0.0,1000,TABLET,0.0
ART-INJ,2025-05-01,HEALTH CENTER,,1173.0,5,VIAL,1173.0
PYRA-SAC,2024-11-01,HEALTH CENTER,,21.0,1,SACHET,21.0
ART-INJ,2025-02-01,HEALTH CENTER,,0.0,5,VIAL,0.0
ACT-INF,2024-08-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
RDT,2024-11-01,HEALTH CENTER,1333.0,155.0,25,PIECE,-1178.0
ACT-INF,2025-02-01,DISTRICT HOSPITAL,,0.0,30,BLISTER,0.0
RDT,2025-11-01,HEALTH CENTER,1815.0,2236.0,25,PIECE,421.0
ACT-INF,2024-02-01,HEALTH CENTER,,60.0,30,BLISTER,60.0
ACT-GC,2024-11-01,HEALTH CENTER,788.0,2307.0,30,BLISTER,1519.0
ART-INJ,2025-11-01,HEALTH CENTER,,3063.0,5,VIAL,3063.0
ACT-GC,2024-05-01,HEALTH CENTER,,0.0,30,BLISTER,0.0
RDT,2025-02-01,HEALTH CENTER,1039.0,332.0,25,PIECE,-707.0
ACT-INF,2025-05-01,HEALTH CENTER,710.0,0.0,30,BLISTER,-710.0
PYRA-SAC,2025-05-01,HEALTH CENTER,760.0,20.0,1,SACHET,-740.0
RDT,2025-05-01,HEALTH CENTER,,7.0,25,PIECE,7.0
ACT-AD,2025-08-01,HEALTH CENTER,534.0,4.0,30,BLISTER,-530.0
RDT,2025-02-01,DISTRICT HOSPITAL,545.0,1297.0,25,PIECE,752.0
PYRA-SAC,2024-11-01,HEALTH CENTER,,0.0,1,SACHET,0.0
RDT,2024-11-01,DISTRICT HOSPITAL,,1004.0,25,PIECE,1004.0
ACT-SC,2024-11-01,HEALTH CENTER,,130.0,30,BLISTER,130.0
ACT-INF,2024-08-01,HEALTH CENTER,,2.0,30,BLISTER,2.0
SP,2025-11-01,HEALTH CENTER,,1595.0,1000,TABLET,1595.0
SP,2025-05-01,HEALTH CENTER,,9562.0,1000,TABLET,9562.0
ACT-INF,2024-11-01,HEALTH CENTER,,57.0,30,BLISTER,57.0
ART-SUP,2025-02-01,HEALTH CENTER,,29.0,2,CAPSULE,29.0
ACT-GC,2024-02-01,HEALTH CENTER,1208.0,408.0,30,BLISTER,-800.0
ACT-GC,2024-11-01,DISTRICT HOSPITAL,,293.0,30,BLISTER,293.0
SP,2024-11-01,HEALTH CENTER,,197.0,1000,TABLET,197.0
