product,product_group,facility_type,reporting_month,High_Transmission_Preparation,zone_type,beginning_balance,quantity_received,quantity_dispensed,total_losses_and_adjustments,stock_in_hand,months_of_stock,stock_status,amc,quantity_approved
ACT-INF,ACT,HEALTH CENTER,May,YES,URBAN,488.0,3.0,296.0,-566,934.0,14.4,Overstock,65.0,25.0
ACT-AD,ACT,HEALTH CENTER,May,YES,RURAL,665.0,7.0,218.0,439,1091.0,14.0,Overstock,78.0,10.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,URBAN,658.0,0.0,140.0,-610,205.0,8.2,Overstock,25.0,16.0
ACT-INF,ACT,HEALTH CENTER,November,NO,RURAL,706.0,9.0,508.0,661,2228.0,6.1,Overstock,367.0,2086.0
PYRA-COMP,PYRA,HEALTH CENTER,November,NO,URBAN,627.0,201.0,90.0,-168,640.0,5.7,Overstock,112.0,951.0
QUIN,SP,HEALTH CENTER,May,YES,RURAL,4948.0,69.0,1758.0,226,2663.0,1.3,Low,2105.0,65.0
ACT-AD,ACT,HOSPITAL,November,NO,RURAL,340.0,122.0,284.0,-215,84.0,0.2,Critical,382.0,13294.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,536.0,289.0,573.0,-1089,1715.0,6.0,Overstock,285.0,35.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,660.0,227.0,320.0,-82,815.0,2.9,Low,278.0,230.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,6242.0,588.0,1440.0,634,4487.0,2.4,Low,1852.0,1155.0
ACT-AD,ACT,HEALTH CENTER,May,YES,RURAL,3957.0,63.0,866.0,489,4544.0,8.4,Overstock,544.0,154.0
QUIN,SP,HEALTH CENTER,August,YES,URBAN,481.0,82.0,101.0,-1029,470.0,11.5,Overstock,41.0,153.0
ACT-INF,ACT,HEALTH CENTER,August,YES,URBAN,1445.0,0.0,255.0,-94,1906.0,8.9,Overstock,215.0,0.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,627.0,13.0,56.0,221,625.0,25.0,Overstock,25.0,0.0
ACT-INF,ACT,HEALTH CENTER,November,NO,RURAL,908.0,2.0,29.0,-795,633.0,63.3,Overstock,10.0,11.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,417.0,24.0,237.0,405,341.0,1.3,Low,257.0,3.0
PYRA-SAC,PYRA,HEALTH CENTER,February,NO,RURAL,3.0,19.0,32.0,-223,29.0,1.6,Low,18.0,114.0
ACT-SC,ACT,HEALTH CENTER,May,YES,RURAL,122.0,0.0,233.0,-102,220.0,0.7,Critical,307.0,728.0
ART-SUP,ART,HEALTH CENTER,August,YES,RURAL,946.0,87.0,439.0,-715,1311.0,2.7,Low,487.0,9039.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,3425.0,502.0,1398.0,173,5671.0,3.3,Adequate,1700.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,RURAL,44.0,0.0,8.0,-630,217.0,54.2,Overstock,4.0,7.0
ITN,PREV,HEALTH CENTER,February,NO,URBAN,1601.0,26.0,307.0,-112,1319.0,13.9,Overstock,95.0,42.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,1826.0,29.0,315.0,-632,1495.0,7.7,Overstock,193.0,1841.0
SP,SP,HEALTH CENTER,August,YES,RURAL,1235.0,3.0,337.0,294,1392.0,27.3,Overstock,51.0,5.0
ACT-INF,ACT,HEALTH CENTER,November,NO,RURAL,2189.0,56.0,1037.0,461,3698.0,4.9,Adequate,753.0,2447.0
ART-SUP,ART,HEALTH CENTER,November,NO,RURAL,2691.0,175.0,215.0,-30,3990.0,47.5,Overstock,84.0,0.0
SP,SP,HEALTH CENTER,May,YES,URBAN,74.0,0.0,29.0,128,130.0,14.4,Overstock,9.0,0.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,291.0,367.0,915.0,-735,1866.0,1.9,Low,966.0,1372.0
ACT-AD,ACT,HEALTH CENTER,February,NO,URBAN,1869.0,17.0,632.0,420,2183.0,3.2,Adequate,672.0,31.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,1848.0,1023.0,966.0,-617,4438.0,5.1,Overstock,869.0,26.0
SP,SP,HEALTH CENTER,November,NO,RURAL,2709.0,343.0,351.0,-512,2891.0,6.4,Overstock,452.0,0.0
SP,SP,HEALTH CENTER,August,YES,RURAL,1665.0,5.0,161.0,-123,840.0,12.0,Overstock,70.0,148.0
ART-SUP,ART,HEALTH CENTER,November,NO,URBAN,1307.0,12.0,662.0,-614,1016.0,2.2,Low,452.0,7.0
QUIN,SP,HEALTH CENTER,May,YES,URBAN,92.0,0.0,0.0,-303,62.0,,Unknown,0.0,0.0
SP,SP,HEALTH CENTER,February,NO,RURAL,11.0,0.0,1.0,71,40.0,40.0,Overstock,1.0,0.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,1352.0,27.0,52.0,-566,978.0,65.2,Overstock,15.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,RURAL,1073.0,2100.0,422.0,15,1426.0,5.1,Overstock,278.0,1.0
PYRA-COMP,PYRA,HEALTH CENTER,February,NO,RURAL,205.0,105.0,184.0,-22,175.0,87.5,Overstock,2.0,8.0
SP,SP,HEALTH CENTER,February,NO,URBAN,53.0,565.0,58.0,433,273.0,2.1,Low,130.0,239.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,491.0,0.0,12.0,-387,198.0,16.5,Overstock,12.0,258.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,35.0,2.0,2.0,-279,351.0,,Unknown,0.0,488.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,1356.0,29.0,87.0,71,1173.0,3.0,Adequate,391.0,135.0
ACT-GC,ACT,HEALTH CENTER,February,NO,URBAN,303.0,5.0,111.0,-154,726.0,19.6,Overstock,37.0,8.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,1517.0,5.0,226.0,436,405.0,2.1,Low,193.0,42.0
ART-INJ,ART,HEALTH CENTER,November,NO,RURAL,153.0,34.0,100.0,347,170.0,2.8,Low,60.0,175.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,1243.0,159.0,656.0,492,610.0,2.3,Low,264.0,16.0
ART-INJ,ART,HOSPITAL,November,NO,RURAL,2029.0,233.0,285.0,773,2351.0,6.4,Overstock,370.0,0.0
QUIN,SP,HEALTH CENTER,November,NO,RURAL,450.0,0.0,9.0,230,11.0,,Unknown,0.0,0.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,194.0,159.0,35.0,136,147.0,18.4,Overstock,8.0,0.0
ART-INJ,ART,HEALTH CENTER,August,YES,URBAN,1645.0,1.0,54.0,15,1255.0,29.2,Overstock,43.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,RURAL,3195.0,55.0,690.0,-282,2519.0,4.4,Adequate,573.0,1742.0
ART-INJ,ART,HOSPITAL,May,YES,RURAL,8.0,0.0,19.0,803,145.0,36.2,Overstock,4.0,0.0
SP,SP,HEALTH CENTER,August,YES,RURAL,10.0,193.0,30.0,51,21.0,3.5,Adequate,6.0,33.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,URBAN,138.0,0.0,12.0,-1021,95.0,11.9,Overstock,8.0,6.0
SP,SP,HOSPITAL,February,NO,URBAN,162.0,0.0,32.0,180,230.0,2.4,Low,94.0,114.0
ACT-AD,ACT,HEALTH CENTER,February,NO,URBAN,1945.0,29.0,289.0,-475,1876.0,5.5,Overstock,341.0,36.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,URBAN,244.0,2397.0,63.0,-473,822.0,82.2,Overstock,10.0,0.0
ITN,PREV,HEALTH CENTER,May,YES,RURAL,333.0,1817.0,57.0,-364,895.0,13.6,Overstock,66.0,819.0
ACT-AD,ACT,HOSPITAL,February,NO,URBAN,1554.0,0.0,614.0,-189,1190.0,1.4,Low,846.0,228.0
ACT-AD,ACT,HEALTH CENTER,May,YES,URBAN,573.0,1109.0,159.0,64,2811.0,20.4,Overstock,138.0,9.0
ITN,PREV,HEALTH CENTER,May,YES,RURAL,3087.0,21.0,412.0,348,1786.0,7.0,Overstock,254.0,24.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,5473.0,31.0,1032.0,-228,2793.0,2.3,Low,1224.0,158.0
ACT-GC,ACT,HEALTH CENTER,February,NO,URBAN,2704.0,752.0,634.0,-488,902.0,1.2,Low,757.0,107.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,RURAL,1280.0,3619.0,241.0,321,956.0,3.8,Adequate,250.0,0.0
ACT-AD,ACT,HEALTH CENTER,November,NO,URBAN,1678.0,32.0,716.0,548,1524.0,2.3,Low,666.0,161.0
RDT,DIAG,HEALTH CENTER,February,NO,RURAL,707.0,41.0,170.0,322,675.0,7.4,Overstock,91.0,2044.0
ACT-GC,ACT,HEALTH CENTER,February,NO,URBAN,646.0,0.0,104.0,-452,396.0,2.3,Low,175.0,4475.0
ACT-AD,ACT,HEALTH CENTER,November,NO,URBAN,224.0,446.0,122.0,108,2515.0,20.4,Overstock,123.0,0.0
ACT-GC,ACT,HEALTH CENTER,August,YES,RURAL,2032.0,611.0,159.0,-58,2276.0,8.7,Overstock,263.0,1.0
ART-INJ,ART,HEALTH CENTER,February,NO,URBAN,132.0,1.0,52.0,376,388.0,5.5,Overstock,71.0,4.0
ART-INJ,ART,HOSPITAL,May,YES,RURAL,2.0,1.0,1.0,192,1.0,,Unknown,0.0,0.0
ACT-SC,ACT,HEALTH CENTER,August,YES,RURAL,12.0,137.0,28.0,-13,51.0,2.2,Low,23.0,0.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,239.0,1.0,109.0,-163,63.0,0.7,Critical,89.0,5736.0
ART-SUP,ART,HEALTH CENTER,August,YES,URBAN,199.0,0.0,19.0,505,66.0,9.4,Overstock,7.0,985.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,2.0,3.0,31.0,213,73.0,2.0,Low,36.0,3562.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,1364.0,2.0,173.0,-518,638.0,4.2,Adequate,152.0,85.0
SP,SP,HEALTH CENTER,May,YES,RURAL,1036.0,367.0,485.0,732,1106.0,1.5,Low,733.0,120.0
ART-SUP,ART,HEALTH CENTER,November,NO,RURAL,2020.0,0.0,912.0,461,1756.0,3.0,Adequate,587.0,846.0
ITN,PREV,HEALTH CENTER,February,NO,RURAL,413.0,0.0,4.0,-641,75.0,,Unknown,0.0,223.0
SP,SP,HEALTH CENTER,February,NO,RURAL,437.0,206.0,651.0,55,1067.0,2.3,Low,464.0,2305.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,924.0,0.0,279.0,-419,874.0,1.8,Low,480.0,210.0
ACT-SC,ACT,HEALTH CENTER,August,YES,URBAN,302.0,12.0,104.0,21,480.0,13.7,Overstock,35.0,11.0
ACT-SC,ACT,HEALTH CENTER,August,YES,RURAL,4105.0,0.0,266.0,-903,1578.0,9.1,Overstock,173.0,414.0
SP,SP,HEALTH CENTER,August,YES,RURAL,323.0,0.0,32.0,331,29.0,7.2,Overstock,4.0,0.0
ACT-AD,ACT,HEALTH CENTER,August,YES,RURAL,645.0,385.0,664.0,735,2033.0,4.0,Adequate,503.0,1029.0
RDT,DIAG,HEALTH CENTER,August,YES,URBAN,1940.0,821.0,1016.0,-484,3281.0,3.8,Adequate,862.0,2134.0
PYRA-SAC,PYRA,HOSPITAL,February,NO,RURAL,2515.0,695.0,292.0,91,2686.0,25.3,Overstock,106.0,1.0
ACT-GC,ACT,HEALTH CENTER,February,NO,URBAN,26.0,0.0,8.0,-182,87.0,43.5,Overstock,2.0,0.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,892.0,85.0,138.0,1065,887.0,2.0,Low,448.0,89.0
SP,SP,HEALTH CENTER,February,NO,URBAN,133.0,0.0,30.0,-119,80.0,40.0,Overstock,2.0,0.0
ACT-SC,ACT,HEALTH CENTER,August,YES,URBAN,3.0,57.0,15.0,275,3.0,0.5,Critical,6.0,0.0
ACT-INF,ACT,HEALTH CENTER,February,NO,RURAL,99.0,0.0,6.0,526,20.0,1.3,Low,15.0,1603.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,364.0,6.0,40.0,-802,70.0,3.2,Adequate,22.0,162.0
ITN,PREV,HEALTH CENTER,August,YES,RURAL,18.0,0.0,29.0,-209,3.0,0.1,Critical,47.0,6415.0
QUIN,SP,HEALTH CENTER,February,NO,RURAL,281.0,0.0,85.0,317,187.0,0.7,Critical,258.0,3.0
PYRA-COMP,PYRA,HEALTH CENTER,May,YES,RURAL,101.0,3305.0,40.0,337,184.0,6.8,Overstock,27.0,1.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,868.0,10.0,342.0,459,1269.0,1.4,Low,904.0,10.0
QUIN,SP,HEALTH CENTER,May,YES,URBAN,1197.0,188.0,88.0,-485,2148.0,19.9,Overstock,108.0,0.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,728.0,91.0,69.0,-472,390.0,12.2,Overstock,32.0,1.0
QUIN,SP,HEALTH CENTER,February,NO,RURAL,1254.0,0.0,62.0,-530,689.0,38.3,Overstock,18.0,2.0
ACT-SC,ACT,HEALTH CENTER,November,NO,URBAN,845.0,301.0,224.0,229,586.0,2.4,Low,241.0,1.0
ACT-AD,ACT,HEALTH CENTER,November,NO,URBAN,498.0,55.0,229.0,304,118.0,0.3,Critical,447.0,3351.0
QUIN,SP,HEALTH CENTER,May,YES,URBAN,605.0,0.0,370.0,-42,2357.0,12.3,Overstock,192.0,1670.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,285.0,1.0,95.0,210,22.0,0.5,Critical,44.0,707.0
QUIN,SP,HEALTH CENTER,February,NO,RURAL,315.0,9.0,175.0,183,479.0,9.6,Overstock,50.0,0.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,URBAN,3351.0,283.0,655.0,-67,3578.0,13.7,Overstock,262.0,1702.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,342.0,817.0,153.0,-1092,669.0,5.2,Overstock,129.0,354.0
ACT-SC,ACT,HEALTH CENTER,November,NO,URBAN,1290.0,153.0,529.0,-351,1903.0,3.0,Adequate,643.0,6256.0
ACT-INF,ACT,HEALTH CENTER,November,NO,RURAL,726.0,0.0,21.0,150,523.0,65.4,Overstock,8.0,0.0
ACT-INF,ACT,HEALTH CENTER,February,NO,RURAL,939.0,1.0,20.0,-657,114.0,3.5,Adequate,33.0,3.0
ACT-INF,ACT,HOSPITAL,November,NO,RURAL,312.0,0.0,251.0,-207,255.0,2.2,Low,116.0,110.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,5194.0,1.0,916.0,-1083,1927.0,1.2,Low,1564.0,9022.0
ART-INJ,ART,HEALTH CENTER,February,NO,URBAN,715.0,0.0,124.0,-14,1103.0,20.4,Overstock,54.0,305.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,3031.0,65.0,1019.0,371,1649.0,1.5,Low,1127.0,816.0
ACT-INF,ACT,HEALTH CENTER,February,NO,RURAL,1497.0,0.0,245.0,1,1204.0,7.5,Overstock,160.0,45.0
ART-SUP,ART,HEALTH CENTER,February,NO,RURAL,463.0,7.0,16.0,-364,142.0,6.8,Overstock,21.0,2.0
ITN,PREV,HEALTH CENTER,August,YES,URBAN,190.0,139.0,28.0,-173,1631.0,108.7,Overstock,15.0,23.0
QUIN,SP,HEALTH CENTER,May,YES,RURAL,63.0,0.0,20.0,-406,61.0,7.6,Overstock,8.0,31.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,744.0,12.0,297.0,267,430.0,0.9,Critical,467.0,69.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,381.0,13.0,51.0,-315,386.0,9.0,Overstock,43.0,1.0
ACT-SC,ACT,HEALTH CENTER,February,NO,RURAL,657.0,648.0,190.0,-43,2410.0,56.0,Overstock,43.0,0.0
ACT-AD,ACT,HEALTH CENTER,August,YES,RURAL,1888.0,6.0,73.0,-635,896.0,448.0,Overstock,2.0,0.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,1461.0,0.0,440.0,-321,1222.0,8.2,Overstock,149.0,159.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,81.0,365.0,478.0,-81,184.0,0.4,Critical,461.0,1196.0
ACT-AD,ACT,HEALTH CENTER,November,NO,RURAL,242.0,0.0,14.0,-197,162.0,81.0,Overstock,2.0,2.0
ART-SUP,ART,HOSPITAL,May,YES,RURAL,2006.0,0.0,133.0,-331,1910.0,37.5,Overstock,51.0,0.0
ITN,PREV,HEALTH CENTER,May,YES,URBAN,56.0,0.0,7.0,-318,139.0,3.3,Adequate,42.0,3.0
ACT-GC,ACT,HEALTH CENTER,November,NO,RURAL,9.0,1.0,2.0,79,97.0,,Unknown,0.0,0.0
ITN,PREV,HEALTH CENTER,November,NO,URBAN,25.0,0.0,16.0,176,74.0,37.0,Overstock,2.0,3.0
ART-SUP,ART,HEALTH CENTER,August,YES,URBAN,865.0,24.0,333.0,-229,1178.0,8.5,Overstock,138.0,214.0
RDT,DIAG,HEALTH CENTER,November,NO,URBAN,817.0,0.0,296.0,-74,207.0,0.7,Critical,287.0,2493.0
ART-INJ,ART,HEALTH CENTER,February,NO,RURAL,1125.0,125.0,726.0,151,664.0,2.1,Low,318.0,7871.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,RURAL,15.0,95.0,56.0,389,70.0,2.8,Low,25.0,31.0
PYRA-SAC,PYRA,HEALTH CENTER,August,YES,URBAN,613.0,1618.0,27.0,247,875.0,23.6,Overstock,37.0,611.0
RDT,DIAG,HEALTH CENTER,May,YES,RURAL,132.0,21.0,13.0,-44,504.0,252.0,Overstock,2.0,236.0
ACT-AD,ACT,HEALTH CENTER,February,NO,URBAN,479.0,430.0,99.0,-85,2055.0,85.6,Overstock,24.0,0.0
QUIN,SP,HEALTH CENTER,May,YES,RURAL,31.0,0.0,1.0,-732,5.0,5.0,Adequate,1.0,0.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,316.0,637.0,139.0,-147,518.0,9.2,Overstock,56.0,0.0
SP,SP,HEALTH CENTER,February,NO,RURAL,2870.0,250.0,991.0,614,3222.0,10.6,Overstock,304.0,1.0
ACT-AD,ACT,HEALTH CENTER,November,NO,RURAL,2191.0,31.0,152.0,60,540.0,6.7,Overstock,81.0,46.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,382.0,1711.0,292.0,-266,2080.0,19.4,Overstock,107.0,10.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,216.0,113.0,88.0,-117,366.0,30.5,Overstock,12.0,184.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,6813.0,0.0,1803.0,-134,3721.0,2.0,Low,1868.0,2273.0
ART-INJ,ART,HOSPITAL,November,NO,RURAL,881.0,159.0,865.0,624,1208.0,1.6,Low,771.0,1385.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,140.0,0.0,79.0,137,206.0,0.5,Critical,406.0,100.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,URBAN,1461.0,2.0,678.0,-611,1058.0,1.9,Low,544.0,4012.0
QUIN,SP,HOSPITAL,May,YES,RURAL,202.0,2.0,105.0,190,1177.0,16.3,Overstock,72.0,0.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,259.0,251.0,208.0,321,334.0,3.2,Adequate,105.0,4306.0
ACT-GC,ACT,HEALTH CENTER,February,NO,URBAN,4005.0,2.0,830.0,-126,2214.0,2.8,Low,780.0,14.0
ACT-SC,ACT,HEALTH CENTER,August,YES,URBAN,1081.0,22.0,265.0,79,959.0,4.5,Adequate,213.0,8466.0
RDT,DIAG,HEALTH CENTER,November,NO,RURAL,638.0,140.0,288.0,-70,859.0,3.5,Adequate,248.0,80.0
ACT-INF,ACT,HEALTH CENTER,February,NO,URBAN,1001.0,69.0,270.0,740,1111.0,2.5,Low,447.0,0.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,789.0,3.0,357.0,767,113.0,0.8,Critical,149.0,4622.0
ART-INJ,ART,HEALTH CENTER,May,YES,RURAL,293.0,1.0,83.0,257,234.0,6.2,Overstock,38.0,129.0
ACT-SC,ACT,HEALTH CENTER,November,NO,RURAL,1.0,0.0,0.0,541,1.0,,Unknown,0.0,0.0
QUIN,SP,HEALTH CENTER,August,YES,RURAL,2703.0,0.0,669.0,363,4313.0,6.9,Overstock,623.0,35.0
PYRA-SAC,PYRA,HOSPITAL,August,YES,RURAL,809.0,474.0,125.0,-214,1288.0,17.6,Overstock,73.0,0.0
RDT,DIAG,HEALTH CENTER,May,YES,URBAN,144.0,593.0,114.0,8,1044.0,17.7,Overstock,59.0,140.0
RDT,DIAG,HEALTH CENTER,February,NO,URBAN,2178.0,1.0,367.0,453,770.0,2.8,Low,272.0,4.0
PYRA-COMP,PYRA,HEALTH CENTER,August,YES,RURAL,112.0,0.0,30.0,-48,561.0,56.1,Overstock,10.0,0.0
ACT-GC,ACT,HEALTH CENTER,May,YES,RURAL,905.0,7.0,271.0,298,1481.0,19.0,Overstock,78.0,0.0
ITN,PREV,HEALTH CENTER,November,NO,RURAL,693.0,436.0,129.0,252,1239.0,33.5,Overstock,37.0,73.0
ACT-SC,ACT,HOSPITAL,May,YES,URBAN,296.0,0.0,116.0,-864,500.0,2.5,Low,204.0,521.0
ITN,PREV,HEALTH CENTER,August,YES,URBAN,402.0,124.0,153.0,224,267.0,3.5,Adequate,77.0,223.0
ACT-GC,ACT,HEALTH CENTER,February,NO,RURAL,810.0,171.0,715.0,343,355.0,0.3,Critical,1067.0,6135.0
ART-INJ,ART,HEALTH CENTER,August,YES,RURAL,167.0,19.0,117.0,75,72.0,1.0,Critical,74.0,12.0
ACT-INF,ACT,HEALTH CENTER,May,YES,RURAL,26.0,2.0,75.0,12,66.0,0.5,Critical,125.0,54.0
PYRA-SAC,PYRA,HEALTH CENTER,May,YES,RURAL,8.0,10.0,4.0,944,85.0,14.2,Overstock,6.0,0.0
ART-SUP,ART,HEALTH CENTER,May,YES,RURAL,1201.0,0.0,97.0,92,151.0,6.0,Overstock,25.0,569.0
PYRA-SAC,PYRA,HEALTH CENTER,November,NO,RURAL,1232.0,2283.0,392.0,408,5157.0,31.6,Overstock,163.0,0.0
RDT,DIAG,HEALTH CENTER,August,YES,RURAL,3295.0,0.0,299.0,-84,3317.0,32.2,Overstock,103.0,0.0
