product_primary_name,processing_periods_name,facility_type_name,beginning_balance,quantity_received,quantity_dispensed,stock_in_hand,quantity_requested,quantity_approved,total_losses_and_adjustments,amc,pack_size,zone,dispensing_unit,diff
SP,2025-02-01,HEALTH CENTER,53.0,565.0,58.0,273.0,,239.0,433,130.0,1000,DISTRICT29,TABLET,239.0
RDT,2024-08-01,HEALTH CENTER,491.0,0.0,12.0,198.0,1866.0,258.0,-387,12.0,25,DISTRICT30,PIECE,-1608.0
ART-SUP,2024-02-01,HEALTH CENTER,35.0,2.0,2.0,351.0,757.0,488.0,-279,0.0,2,DISTRICT24,CAPSULE,-269.0
RDT,2024-11-01,HEALTH CENTER,1356.0,29.0,87.0,1173.0,,135.0,71,391.0,25,DISTRICT35,PIECE,135.0
ACT-GC,2024-02-01,HEALTH CENTER,303.0,5.0,111.0,726.0,,8.0,-154,37.0,30,DISTRICT28,BLISTER,8.0
ACT-GC,2025-11-01,HEALTH CENTER,1517.0,5.0,226.0,405.0,,42.0,436,193.0,30,DISTRICT14,BLISTER,42.0
ART-INJ,2024-11-01,HEALTH CENTER,153.0,34.0,100.0,170.0,,175.0,347,60.0,5,DISTRICT33,VIAL,175.0
RDT,2025-05-01,HEALTH CENTER,1243.0,159.0,656.0,610.0,,16.0,492,264.0,25,DISTRICT30,PIECE,16.0
ART-INJ,2025-11-01,DISTRICT HOSPITAL,2029.0,233.0,285.0,2351.0,,0.0,773,370.0,5,DISTRICT30,VIAL,0.0
QUIN,2024-11-01,HEALTH CENTER,450.0,0.0,9.0,11.0,,0.0,230,0.0,1000,DISTRICT36,TABLET,0.0
ACT-SC,2024-11-01,HEALTH CENTER,194.0,159.0,35.0,147.0,,0.0,136,8.0,30,DISTRICT9,BLISTER,0.0
ART-INJ,2025-08-01,HEALTH CENTER,1645.0,1.0,54.0,1255.0,,0.0,15,43.0,5,DISTRICT28,VIAL,0.0
PYRA-SAC,2025-08-01,HEALTH CENTER,3195.0,55.0,690.0,2519.0,,1742.0,-282,573.0,1,DISTRICT13,SACHET,1742.0
ART-INJ,2024-05-01,DISTRICT HOSPITAL,8.0,0.0,19.0,145.0,,0.0,803,4.0,5,DISTRICT11,VIAL,0.0
SP,2025-08-01,HEALTH CENTER,10.0,193.0,30.0,21.0,,33.0,51,6.0,1000,DISTRICT6,TABLET,33.0
PYRA-SAC,2024-05-01,HEALTH CENTER,138.0,0.0,12.0,95.0,481.0,6.0,-1021,8.0,1,DISTRICT28,SACHET,-475.0
SP,2025-02-01,REGIONAL HOSPITAL,162.0,0.0,32.0,230.0,,114.0,180,94.0,1000,DISTRICT28,TABLET,114.0
ACT-AD,2024-02-01,HEALTH CENTER,1945.0,29.0,289.0,1876.0,358.0,36.0,-475,341.0,30,DISTRICT28,BLISTER,-322.0
PYRA-COMP,2024-05-01,HEALTH CENTER,244.0,2397.0,63.0,822.0,,0.0,-473,10.0,1,DISTRICT15,TABLET,0.0
ITN,2024-05-01,HEALTH CENTER,333.0,1817.0,57.0,895.0,598.0,819.0,-364,66.0,50,DISTRICT14,PIECE,221.0
ACT-AD,2024-02-01,REGIONAL HOSPITAL,1554.0,0.0,614.0,1190.0,,228.0,-189,846.0,30,DISTRICT15,BLISTER,228.0
ACT-AD,2024-05-01,HEALTH CENTER,573.0,1109.0,159.0,2811.0,200.0,9.0,64,138.0,30,DISTRICT28,BLISTER,-191.0
ITN,2024-05-01,HEALTH CENTER,3087.0,21.0,412.0,1786.0,,24.0,348,254.0,50,DISTRICT5,PIECE,24.0
RDT,2025-11-01,HEALTH CENTER,5473.0,31.0,1032.0,2793.0,,158.0,-228,1224.0,25,DISTRICT20,PIECE,158.0
ACT-GC,2025-02-01,HEALTH CENTER,2704.0,752.0,634.0,902.0,,107.0,-488,757.0,30,DISTRICT20,BLISTER,107.0
PYRA-SAC,2025-08-01,HEALTH CENTER,1280.0,3619.0,241.0,956.0,371.0,0.0,321,250.0,1,DISTRICT6,SACHET,-371.0
ACT-AD,2025-11-01,HEALTH CENTER,1678.0,32.0,716.0,1524.0,,161.0,548,666.0,30,DISTRICT37,BLISTER,161.0
RDT,2025-02-01,HEALTH CENTER,707.0,41.0,170.0,675.0,,2044.0,322,91.0,25,DISTRICT16,PIECE,2044.0
ACT-GC,2025-02-01,HEALTH CENTER,646.0,0.0,104.0,396.0,,4475.0,-452,175.0,30,DISTRICT37,BLISTER,4475.0
ACT-AD,2025-11-01,HEALTH CENTER,224.0,446.0,122.0,2515.0,,0.0,108,123.0,30,DISTRICT20,BLISTER,0.0
ACT-GC,2024-08-01,HEALTH CENTER,2032.0,611.0,159.0,2276.0,,1.0,-58,263.0,30,DISTRICT30,BLISTER,1.0
ART-INJ,2024-02-01,HEALTH CENTER,132.0,1.0,52.0,388.0,,4.0,376,71.0,5,DISTRICT3,VIAL,4.0
ART-INJ,2024-05-01,DISTRICT HOSPITAL,2.0,1.0,1.0,1.0,,0.0,192,0.0,5,DISTRICT14,VIAL,0.0
ACT-SC,2025-08-01,HEALTH CENTER,12.0,137.0,28.0,51.0,,0.0,-13,23.0,30,DISTRICT12,BLISTER,0.0
ART-INJ,2024-02-01,HEALTH CENTER,239.0,1.0,109.0,63.0,,5736.0,-163,89.0,5,DISTRICT19,VIAL,5736.0
ART-SUP,2025-08-01,HEALTH CENTER,199.0,0.0,19.0,66.0,,985.0,505,7.0,2,DISTRICT20,CAPSULE,985.0
RDT,2025-11-01,HEALTH CENTER,2.0,3.0,31.0,73.0,,3562.0,213,36.0,25,DISTRICT28,PIECE,3562.0
ACT-GC,2024-05-01,HEALTH CENTER,1364.0,2.0,173.0,638.0,,85.0,-518,152.0,30,DISTRICT30,BLISTER,85.0
SP,2024-05-01,HEALTH CENTER,1036.0,367.0,485.0,1106.0,,120.0,732,733.0,1000,DISTRICT26,TABLET,120.0
ART-SUP,2024-11-01,HEALTH CENTER,2020.0,0.0,912.0,1756.0,,846.0,461,587.0,2,DISTRICT32,CAPSULE,846.0
ITN,2025-02-01,HEALTH CENTER,413.0,0.0,4.0,75.0,,223.0,-641,0.0,50,DISTRICT33,PIECE,223.0
SP,2024-02-01,HEALTH CENTER,437.0,206.0,651.0,1067.0,,2305.0,55,464.0,1000,DISTRICT13,TABLET,2305.0
PYRA-COMP,2024-05-01,HEALTH CENTER,924.0,0.0,279.0,874.0,250.0,210.0,-419,480.0,1,DISTRICT13,TABLET,-40.0
ACT-SC,2025-08-01,HEALTH CENTER,302.0,12.0,104.0,480.0,,11.0,21,35.0,30,DISTRICT29,BLISTER,11.0
ACT-SC,2025-08-01,HEALTH CENTER,4105.0,0.0,266.0,1578.0,,414.0,-903,173.0,30,DISTRICT12,BLISTER,414.0
SP,2024-08-01,HEALTH CENTER,323.0,0.0,32.0,29.0,167.0,0.0,331,4.0,1000,DISTRICT13,TABLET,-167.0
ACT-AD,2024-08-01,HEALTH CENTER,645.0,385.0,664.0,2033.0,546.0,1029.0,735,503.0,30,DISTRICT14,BLISTER,483.0
RDT,2024-08-01,HEALTH CENTER,1940.0,821.0,1016.0,3281.0,,2134.0,-484,862.0,25,DISTRICT3,PIECE,2134.0
PYRA-SAC,2024-02-01,DISTRICT HOSPITAL,2515.0,695.0,292.0,2686.0,,1.0,91,106.0,1,DISTRICT33,SACHET,1.0
ACT-GC,2025-02-01,HEALTH CENTER,26.0,0.0,8.0,87.0,,0.0,-182,2.0,30,DISTRICT25,BLISTER,0.0
ART-INJ,2024-08-01,HEALTH CENTER,892.0,85.0,138.0,887.0,,89.0,1065,448.0,5,DISTRICT16,VIAL,89.0
SP,2025-02-01,HEALTH CENTER,133.0,0.0,30.0,80.0,686.0,0.0,-119,2.0,1000,DISTRICT28,TABLET,-686.0
ACT-SC,2024-08-01,HEALTH CENTER,3.0,57.0,15.0,3.0,749.0,0.0,275,6.0,30,DISTRICT37,BLISTER,-749.0
ACT-INF,2025-02-01,HEALTH CENTER,99.0,0.0,6.0,20.0,1189.0,1603.0,526,15.0,30,DISTRICT9,BLISTER,414.0
QUIN,2024-08-01,HEALTH CENTER,364.0,6.0,40.0,70.0,,162.0,-802,22.0,1000,DISTRICT14,TABLET,162.0
ITN,2025-08-01,HEALTH CENTER,18.0,0.0,29.0,3.0,,6415.0,-209,47.0,50,DISTRICT8,PIECE,6415.0
QUIN,2025-02-01,HEALTH CENTER,281.0,0.0,85.0,187.0,,3.0,317,258.0,1000,DISTRICT30,TABLET,3.0
PYRA-COMP,2024-05-01,HEALTH CENTER,101.0,3305.0,40.0,184.0,,1.0,337,27.0,1,DISTRICT8,TABLET,1.0
ART-INJ,2024-08-01,HEALTH CENTER,868.0,10.0,342.0,1269.0,,10.0,459,904.0,5,DISTRICT5,VIAL,10.0
QUIN,2025-05-01,HEALTH CENTER,1197.0,188.0,88.0,2148.0,190.0,0.0,-485,108.0,1000,DISTRICT31,TABLET,-190.0
RDT,2024-11-01,HEALTH CENTER,728.0,91.0,69.0,390.0,,1.0,-472,32.0,25,DISTRICT9,PIECE,1.0
QUIN,2025-02-01,HEALTH CENTER,1254.0,0.0,62.0,689.0,,2.0,-530,18.0,1000,DISTRICT13,TABLET,2.0
ACT-SC,2024-11-01,HEALTH CENTER,845.0,301.0,224.0,586.0,,1.0,229,241.0,30,DISTRICT31,BLISTER,1.0
ACT-AD,2025-11-01,HEALTH CENTER,498.0,55.0,229.0,118.0,,3351.0,304,447.0,30,DISTRICT29,BLISTER,3351.0
QUIN,2025-05-01,HEALTH CENTER,605.0,0.0,370.0,2357.0,,1670.0,-42,192.0,1000,DISTRICT15,TABLET,1670.0
RDT,2024-11-01,HEALTH CENTER,285.0,1.0,95.0,22.0,,707.0,210,44.0,25,DISTRICT31,PIECE,707.0
QUIN,2025-02-01,HEALTH CENTER,315.0,9.0,175.0,479.0,,0.0,183,50.0,1000,DISTRICT22,TABLET,0.0
PYRA-SAC,2025-05-01,HEALTH CENTER,3351.0,283.0,655.0,3578.0,1260.0,1702.0,-67,262.0,1,DISTRICT7,SACHET,442.0
ACT-GC,2025-11-01,HEALTH CENTER,342.0,817.0,153.0,669.0,,354.0,-1092,129.0,30,DISTRICT4,BLISTER,354.0
ACT-SC,2024-11-01,HEALTH CENTER,1290.0,153.0,529.0,1903.0,848.0,6256.0,-351,643.0,30,DISTRICT20,BLISTER,5408.0
ACT-INF,2025-11-01,HEALTH CENTER,726.0,0.0,21.0,523.0,,0.0,150,8.0,30,DISTRICT1,BLISTER,0.0
ACT-INF,2024-02-01,HEALTH CENTER,939.0,1.0,20.0,114.0,,3.0,-657,33.0,30,DISTRICT36,BLISTER,3.0
ACT-INF,2025-11-01,DISTRICT HOSPITAL,312.0,0.0,251.0,255.0,641.0,110.0,-207,116.0,30,DISTRICT13,BLISTER,-531.0
ART-INJ,2025-08-01,HEALTH CENTER,5194.0,1.0,916.0,1927.0,,9022.0,-1083,1564.0,5,DISTRICT36,VIAL,9022.0
ART-INJ,2024-02-01,HEALTH CENTER,715.0,0.0,124.0,1103.0,,305.0,-14,54.0,5,DISTRICT3,VIAL,305.0
ACT-SC,2025-11-01,HEALTH CENTER,3031.0,65.0,1019.0,1649.0,366.0,816.0,371,1127.0,30,DISTRICT33,BLISTER,450.0
ACT-INF,2024-02-01,HEALTH CENTER,1497.0,0.0,245.0,1204.0,683.0,45.0,1,160.0,30,DISTRICT16,BLISTER,-638.0
ART-SUP,2024-02-01,HEALTH CENTER,463.0,7.0,16.0,142.0,555.0,2.0,-364,21.0,2,DISTRICT32,CAPSULE,-553.0
ITN,2025-08-01,HEALTH CENTER,190.0,139.0,28.0,1631.0,192.0,23.0,-173,15.0,50,DISTRICT20,PIECE,-169.0
QUIN,2025-05-01,HEALTH CENTER,63.0,0.0,20.0,61.0,,31.0,-406,8.0,1000,DISTRICT26,TABLET,31.0
RDT,2024-02-01,HEALTH CENTER,744.0,12.0,297.0,430.0,,69.0,267,467.0,25,DISTRICT25,PIECE,69.0
ACT-SC,2024-02-01,HEALTH CENTER,381.0,13.0,51.0,386.0,,1.0,-315,43.0,30,DISTRICT4,BLISTER,1.0
ACT-SC,2024-02-01,HEALTH CENTER,657.0,648.0,190.0,2410.0,,0.0,-43,43.0,30,DISTRICT2,BLISTER,0.0
ACT-AD,2024-08-01,HEALTH CENTER,1888.0,6.0,73.0,896.0,1500.0,0.0,-635,2.0,30,DISTRICT12,BLISTER,-1500.0
RDT,2024-05-01,HEALTH CENTER,1461.0,0.0,440.0,1222.0,,159.0,-321,149.0,25,DISTRICT4,PIECE,159.0
RDT,2024-11-01,HEALTH CENTER,81.0,365.0,478.0,184.0,,1196.0,-81,461.0,25,DISTRICT1,PIECE,1196.0
ACT-AD,2025-11-01,HEALTH CENTER,242.0,0.0,14.0,162.0,,2.0,-197,2.0,30,DISTRICT19,BLISTER,2.0
ART-SUP,2025-05-01,DISTRICT HOSPITAL,2006.0,0.0,133.0,1910.0,1412.0,0.0,-331,51.0,2,DISTRICT2,CAPSULE,-1412.0
ITN,2025-05-01,HEALTH CENTER,56.0,0.0,7.0,139.0,458.0,3.0,-318,42.0,50,DISTRICT15,PIECE,-455.0
ACT-GC,2025-11-01,HEALTH CENTER,9.0,1.0,2.0,97.0,,0.0,79,0.0,30,DISTRICT36,BLISTER,0.0
ITN,2025-11-01,HEALTH CENTER,25.0,0.0,16.0,74.0,116.0,3.0,176,2.0,50,DISTRICT28,PIECE,-113.0
ART-SUP,2025-08-01,HEALTH CENTER,865.0,24.0,333.0,1178.0,1141.0,214.0,-229,138.0,2,DISTRICT37,CAPSULE,-927.0
RDT,2025-11-01,HEALTH CENTER,817.0,0.0,296.0,207.0,,2493.0,-74,287.0,25,DISTRICT29,PIECE,2493.0
ART-INJ,2024-02-01,HEALTH CENTER,1125.0,125.0,726.0,664.0,,7871.0,151,318.0,5,DISTRICT33,VIAL,7871.0
PYRA-SAC,2024-08-01,HEALTH CENTER,15.0,95.0,56.0,70.0,,31.0,389,25.0,1,DISTRICT9,SACHET,31.0
PYRA-SAC,2025-08-01,HEALTH CENTER,613.0,1618.0,27.0,875.0,,611.0,247,37.0,1,DISTRICT7,SACHET,611.0
RDT,2024-05-01,HEALTH CENTER,132.0,21.0,13.0,504.0,,236.0,-44,2.0,25,DISTRICT22,PIECE,236.0
ACT-AD,2024-02-01,HEALTH CENTER,479.0,430.0,99.0,2055.0,,0.0,-85,24.0,30,DISTRICT31,BLISTER,0.0
QUIN,2024-05-01,HEALTH CENTER,31.0,0.0,1.0,5.0,,0.0,-732,1.0,1000,DISTRICT17,TABLET,0.0
ART-INJ,2025-05-01,HEALTH CENTER,316.0,637.0,139.0,518.0,,0.0,-147,56.0,5,DISTRICT2,VIAL,0.0
SP,2025-02-01,HEALTH CENTER,2870.0,250.0,991.0,3222.0,,1.0,614,304.0,1000,DISTRICT5,TABLET,1.0
ACT-AD,2025-11-01,HEALTH CENTER,2191.0,31.0,152.0,540.0,,46.0,60,81.0,30,DISTRICT35,BLISTER,46.0
RDT,2024-11-01,HEALTH CENTER,382.0,1711.0,292.0,2080.0,640.0,10.0,-266,107.0,25,DISTRICT10,PIECE,-630.0
PYRA-COMP,2024-08-01,HEALTH CENTER,216.0,113.0,88.0,366.0,,184.0,-117,12.0,1,DISTRICT19,TABLET,184.0
ACT-GC,2024-02-01,HEALTH CENTER,6813.0,0.0,1803.0,3721.0,,2273.0,-134,1868.0,30,DISTRICT1,BLISTER,2273.0
ART-INJ,2024-11-01,DISTRICT HOSPITAL,881.0,159.0,865.0,1208.0,,1385.0,624,771.0,5,DISTRICT24,VIAL,1385.0
ACT-GC,2024-02-01,HEALTH CENTER,140.0,0.0,79.0,206.0,488.0,100.0,137,406.0,30,DISTRICT33,BLISTER,-388.0
PYRA-SAC,2025-05-01,HEALTH CENTER,1461.0,2.0,678.0,1058.0,2896.0,4012.0,-611,544.0,1,DISTRICT7,SACHET,1116.0
QUIN,2024-05-01,DISTRICT HOSPITAL,202.0,2.0,105.0,1177.0,,0.0,190,72.0,1000,DISTRICT1,TABLET,0.0
ART-INJ,2024-08-01,HEALTH CENTER,259.0,251.0,208.0,334.0,,4306.0,321,105.0,5,DISTRICT23,VIAL,4306.0
ACT-GC,2024-02-01,HEALTH CENTER,4005.0,2.0,830.0,2214.0,,14.0,-126,780.0,30,DISTRICT7,BLISTER,14.0
ACT-SC,2025-08-01,HEALTH CENTER,1081.0,22.0,265.0,959.0,1176.0,8466.0,79,213.0,30,DISTRICT28,BLISTER,7290.0
RDT,2025-11-01,HEALTH CENTER,638.0,140.0,288.0,859.0,,80.0,-70,248.0,25,DISTRICT26,PIECE,80.0
