,beginning_balance,quantity_received,quantity_dispensed,total_losses_and_adjustments,stock_in_hand,months_of_stock,amc,product_group_ART,product_group_DIAG,product_group_PREV,product_group_PYRA,product_group_SP,facility_type_HOSPITAL,reporting_month_February,reporting_month_May,reporting_month_November,zone_type_URBAN,High_Transmission_Preparation_YES,stock_status_Critical,stock_status_Low,stock_status_Overstock,stock_status_Stockout
5578,244.0,0.0,51.0,-573,244.0,12.2,20.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3626,4940.0,884.0,1495.0,-944,2678.0,4.4,608.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5456,1502.0,1.0,366.0,578,1522.0,4.1,375.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1482,2354.0,508.0,873.0,330,1066.0,0.9,1187.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
2671,287.0,2.0,128.0,120,1464.0,29.9,49.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
775,53.0,33.0,20.0,260,1100.0,23.4,47.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2581,6.0,0.0,109.0,344,24.0,0.2,116.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1905,33.0,0.0,9.0,436,27.0,9.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3721,1426.0,0.0,207.0,1033,2127.0,6.1,351.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2359,2052.0,1.0,719.0,51,3223.0,5.6,571.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1039,1363.0,0.0,472.0,608,1001.0,5.8,173.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3132,4766.0,287.0,899.0,500,3014.0,4.9,613.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4126,1130.0,0.0,485.0,844,1017.0,2.5,409.0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0
488,277.0,0.0,22.0,-196,246.0,123.0,2.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
8560,72.0,19.0,65.0,-356,143.0,4.8,30.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
4906,1020.0,29.0,323.0,1126,1188.0,4.2,285.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3463,396.0,271.0,528.0,501,380.0,1.0,378.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
6275,3026.0,17.0,270.0,-67,3474.0,4.6,757.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
3040,371.0,0.0,170.0,546,22.0,0.4,57.0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
6984,757.0,14.0,180.0,-1155,575.0,2.9,197.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
4802,714.0,0.0,60.0,-94,139.0,10.7,13.0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
6224,1620.0,600.0,332.0,-669,2260.0,6.0,375.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2007,2729.0,0.0,272.0,370,301.0,1.6,187.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
4557,2464.0,58.0,72.0,-203,653.0,46.6,14.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3642,1092.0,9.0,432.0,398,452.0,0.9,499.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
455,1060.0,370.0,264.0,-93,670.0,2.0,338.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
274,2312.0,0.0,269.0,-710,2000.0,5.4,371.0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2282,1673.0,1173.0,353.0,310,1498.0,9.1,165.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6737,1530.0,0.0,234.0,-801,169.0,0.9,187.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
7195,194.0,1.0,26.0,-174,129.0,9.9,13.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
918,2283.0,415.0,249.0,-115,3598.0,39.5,91.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1530,641.0,17.0,210.0,-280,313.0,1.9,161.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1166,146.0,0.0,3.0,-698,55.0,7.9,7.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
7933,1153.0,5.0,176.0,-9,829.0,2.3,354.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
6987,1647.0,1.0,241.0,514,570.0,1.4,396.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
8502,2699.0,1.0,687.0,167,1159.0,3.1,378.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
7262,311.0,0.0,7.0,144,49.0,8.2,6.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
7068,288.0,0.0,19.0,777,484.0,3.1,154.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
4389,1824.0,980.0,986.0,145,5514.0,7.4,745.0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
128,99.0,0.0,6.0,526,20.0,1.3,15.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
842,400.0,2.0,132.0,43,168.0,4.9,34.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3283,709.0,13.0,124.0,-92,1208.0,2.7,455.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3802,2487.0,6.0,569.0,-52,1500.0,3.8,390.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
4469,575.0,473.0,524.0,762,1718.0,4.9,352.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
7279,485.0,24.0,406.0,-268,591.0,2.5,234.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6485,108.0,61.0,200.0,33,661.0,5.2,128.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2393,746.0,0.0,88.0,278,104.0,2.9,36.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1508,724.0,2.0,312.0,12,325.0,2.4,134.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3956,103.0,125.0,383.0,-98,121.0,0.5,261.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6159,817.0,0.0,111.0,507,420.0,10.8,39.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
3496,191.0,85.0,25.0,219,499.0,499.0,1.0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
6620,496.0,5.0,30.0,117,33.0,0.3,98.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2193,1766.0,65.0,281.0,-191,1335.0,5.5,243.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
512,103.0,95.0,35.0,206,1215.0,52.8,23.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8096,291.0,0.0,13.0,128,11.0,0.8,13.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4456,41.0,9.0,20.0,-265,361.0,17.2,21.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
759,1398.0,6.0,353.0,-468,1447.0,24.5,59.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
3831,763.0,21.0,178.0,-40,1339.0,5.6,241.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2846,116.0,0.0,79.0,-601,106.0,2.4,44.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
8384,465.0,361.0,369.0,308,871.0,2.0,440.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3020,2310.0,279.0,839.0,-428,1649.0,5.4,303.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
8430,1493.0,185.0,584.0,133,1454.0,2.5,572.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
6308,103.0,1.0,24.0,278,86.0,14.3,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6134,1009.0,0.0,26.0,-46,760.0,760.0,1.0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0
8310,398.0,0.0,11.0,-562,478.0,79.7,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5747,177.0,0.0,37.0,12,497.0,17.1,29.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
836,1398.0,69.0,132.0,-339,1234.0,12.3,100.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
7402,407.0,3.0,126.0,-338,259.0,2.0,129.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1847,1.0,32.0,24.0,394,252.0,18.0,14.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
153,190.0,139.0,28.0,-173,1631.0,108.7,15.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
7095,293.0,1.0,154.0,721,153.0,1.6,98.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
216,327.0,529.0,74.0,130,854.0,15.2,56.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1335,2999.0,1.0,1112.0,-391,1899.0,2.0,965.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3787,8.0,4.0,6.0,-185,86.0,6.1,14.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2146,2139.0,45.0,470.0,-386,1408.0,2.5,566.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
5846,351.0,20.0,487.0,426,388.0,0.5,800.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8613,801.0,2287.0,496.0,579,2930.0,10.1,291.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
5506,208.0,12.0,23.0,-263,513.0,64.1,8.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4137,341.0,201.0,129.0,-186,1718.0,107.4,16.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2569,341.0,0.0,334.0,-188,271.0,0.6,451.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
8289,334.0,0.0,5.0,-653,29.0,29.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5394,1072.0,2326.0,219.0,59,2666.0,11.9,224.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
3340,2753.0,30.0,414.0,736,243.0,1.4,170.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
250,1742.0,1.0,163.0,-905,1850.0,18.5,100.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
600,3474.0,0.0,794.0,158,2657.0,2.8,958.0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
8290,405.0,1037.0,42.0,38,379.0,11.8,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8411,1556.0,1.0,304.0,616,1559.0,6.4,244.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5713,29.0,0.0,25.0,-248,7.0,0.9,8.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4399,5424.0,578.0,778.0,219,6749.0,10.3,656.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
149,715.0,0.0,124.0,-14,1103.0,20.4,54.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
4258,935.0,468.0,1091.0,504,2558.0,5.0,511.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2235,4189.0,256.0,1230.0,-585,2339.0,1.6,1471.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1984,356.0,0.0,299.0,677,130.0,0.6,226.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1932,613.0,330.0,161.0,691,1327.0,7.2,185.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2148,3118.0,0.0,237.0,194,2457.0,21.9,112.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2334,274.0,1.0,101.0,-317,443.0,6.3,70.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
5375,67.0,0.0,93.0,898,130.0,2.5,53.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
6245,1266.0,2.0,281.0,116,235.0,0.6,387.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5089,1022.0,0.0,19.0,118,1033.0,103.3,10.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
5386,3240.0,1.0,84.0,-299,688.0,28.7,24.0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
3056,2038.0,6.0,641.0,118,3719.0,7.0,531.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
8193,87.0,1343.0,124.0,208,1190.0,9.4,126.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
7882,979.0,216.0,272.0,-370,1037.0,3.7,277.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5381,38.0,339.0,24.0,-793,194.0,32.3,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1021,680.0,0.0,214.0,261,295.0,2.6,113.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
6496,1026.0,14.0,566.0,277,1474.0,2.9,511.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
7372,129.0,8.0,155.0,-369,430.0,12.6,34.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
7792,4660.0,334.0,569.0,-516,2945.0,5.6,525.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
5300,2112.0,357.0,333.0,-403,3197.0,18.9,169.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
926,2142.0,133.0,390.0,-621,1698.0,6.2,275.0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
6173,1663.0,0.0,284.0,-698,372.0,3.3,112.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4186,1382.0,16.0,344.0,-99,911.0,5.8,158.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
1445,323.0,74.0,1196.0,278,619.0,1.3,472.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
262,395.0,0.0,276.0,-584,38.0,0.4,106.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6595,655.0,8.0,347.0,-513,269.0,0.6,445.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1915,787.0,6.0,295.0,-49,571.0,5.7,101.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
741,569.0,1.0,531.0,495,799.0,2.2,362.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
6493,929.0,0.0,250.0,-212,121.0,0.2,615.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
