product_primaryname,processing_periods_name,facility_type_name,beginningbalance,quantityreceived,quantitydispensed,stockinhand,quantityrequested,quantityapproved,totallossesandadjustments,amc,packsize,zone,dispensingunit
PYRA-COMP,Oct 2025,HEALTH CENTER,145.0,,0.0,61.0,228.0,0.0,96,,5,DISTRICT31,TABLET
ART-INJ,Oct 2024,HEALTH CENTER,852.0,16.0,135.0,691.0,,14.0,380,,1,DISTRICT8,VIAL
ART-SUP,Aug 2025,HEALTH CENTER,,,,427.0,,10.0,268,183.0,2,DISTRICT29,CAPSULE
ART-INJ,Nov 2025,HEALTH CENTER,,790.0,124.0,649.0,,25.0,349,104.0,1,DISTRICT22,VIAL
PYRA-COMP,Jul 2025,HEALTH CENTER,641.0,16.0,,355.0,924.0,24.0,755,,25,DISTRICT33,TABLET
ART-INJ,Oct 2024,DISTRICT HOSPITAL,1826.0,,658.0,1749.0,,104.0,-295,,30,DISTRICT23,VIAL
ITN,Apr 2024,HEALTH CENTER,1679.0,4.0,396.0,633.0,,78.0,364,132.0,50,DISTRICT12,PIECE
ACT-AD,Jun 2024,HEALTH CENTER,,,921.0,2400.0,,778.0,203,933.0,25,DISTRICT14,BLISTER
ART-SUP,Jan 2024,HEALTH CENTER,4.0,20.0,,149.0,,0.0,-152,8.0,100,DISTRICT9,CAPSULE
ACT-AD,Jan 2024,HEALTH CENTER,2857.0,336.0,,798.0,198.0,0.0,-554,945.0,1,DISTRICT22,BLISTER
ITN,Sep 2024,HEALTH CENTER,1358.0,7.0,,1753.0,,,75,72.0,30,DISTRICT23,PIECE
ACT-SC,Feb 2024,REGIONAL HOSPITAL,48.0,9.0,,26.0,,1.0,552,,30,DISTRICT10,BLISTER
PYRA-COMP,Aug 2025,HEALTH CENTER,1595.0,,60.0,,,,186,125.0,25,DISTRICT25,TABLET
ART-INJ,Jan 2024,HEALTH CENTER,,239.0,,,,,-784,,1,DISTRICT35,VIAL
PYRA-SAC,Jan 2025,DISTRICT HOSPITAL,,,177.0,135.0,,2695.0,441,,5,DISTRICT22,SACHET
ART-SUP,Mar 2024,HEALTH CENTER,1791.0,0.0,632.0,796.0,1401.0,2.0,-197,,1,DISTRICT37,CAPSULE
ACT-INF,Sep 2025,HEALTH CENTER,221.0,3.0,32.0,,,552.0,-697,,30,DISTRICT15,BLISTER
ACT-INF,Feb 2025,HEALTH CENTER,,247.0,181.0,,,0.0,614,39.0,30,DISTRICT21,BLISTER
ACT-SC,Aug 2024,HEALTH CENTER,123.0,4.0,,,,,404,172.0,1000,DISTRICT23,BLISTER
ART-SUP,Jan 2024,HEALTH CENTER,,0.0,,26.0,1009.0,147.0,-465,3.0,30,DISTRICT35,CAPSULE
ART-SUP,Aug 2024,HEALTH CENTER,590.0,3.0,,1140.0,,338.0,266,77.0,2,DISTRICT5,CAPSULE
ACT-GC,Sep 2024,DISTRICT HOSPITAL,4263.0,0.0,477.0,2438.0,,564.0,-408,760.0,1,DISTRICT28,BLISTER
RDT,Aug 2024,HEALTH CENTER,2444.0,,853.0,,,,556,415.0,1000,DISTRICT3,PIECE
PYRA-COMP,Jan 2025,HEALTH CENTER,510.0,845.0,159.0,828.0,,1.0,-116,74.0,5,DISTRICT25,TABLET
RDT,Jul 2025,HEALTH CENTER,,80.0,543.0,528.0,,310.0,-285,113.0,50,DISTRICT29,PIECE
ACT-AD,Apr 2025,HEALTH CENTER,4.0,452.0,,190.0,997.0,0.0,106,4.0,30,DISTRICT25,BLISTER
ACT-INF,Mar 2025,HEALTH CENTER,,0.0,518.0,1023.0,,1213.0,-565,421.0,30,DISTRICT27,BLISTER
SP,Aug 2024,HEALTH CENTER,119.0,82.0,44.0,294.0,,0.0,499,3.0,30,DISTRICT31,TABLET
RDT,Feb 2025,HEALTH CENTER,3518.0,78.0,,,,,79,,30,DISTRICT16,PIECE
QUIN,Jun 2024,HEALTH CENTER,5370.0,,1655.0,4408.0,,182.0,-24,1420.0,1000,DISTRICT33,TABLET
RDT,Aug 2025,HEALTH CENTER,1153.0,0.0,349.0,699.0,,0.0,-145,436.0,30,DISTRICT2,PIECE
PYRA-COMP,Sep 2025,HEALTH CENTER,168.0,,,,,1107.0,-406,534.0,5,DISTRICT28,TABLET
QUIN,Oct 2025,HEALTH CENTER,2169.0,47.0,1092.0,,,9.0,60,512.0,30,DISTRICT36,TABLET
ART-SUP,Feb 2024,HEALTH CENTER,394.0,886.0,125.0,1312.0,251.0,2.0,338,194.0,30,DISTRICT16,CAPSULE
PYRA-COMP,Oct 2025,HEALTH CENTER,435.0,61.0,,,342.0,1744.0,121,122.0,5,DISTRICT38,TABLET
ACT-AD,Feb 2025,HEALTH CENTER,10.0,725.0,11.0,21.0,665.0,,394,2.0,1,DISTRICT30,BLISTER
ART-SUP,Oct 2025,HEALTH CENTER,436.0,,329.0,926.0,,3.0,588,,2,DISTRICT26,CAPSULE
SP,Aug 2024,HEALTH CENTER,962.0,,393.0,1017.0,,98.0,-113,540.0,1,DISTRICT9,TABLET
ITN,Mar 2024,HEALTH CENTER,192.0,6.0,,257.0,,0.0,-539,100.0,1,DISTRICT29,PIECE
ACT-INF,Aug 2024,HEALTH CENTER,,35.0,33.0,629.0,,0.0,-863,14.0,100,DISTRICT20,BLISTER
QUIN,Jan 2024,HEALTH CENTER,,54.0,,4098.0,,6939.0,-435,1831.0,1000,DISTRICT32,TABLET
SP,Jun 2024,DISTRICT HOSPITAL,,,77.0,71.0,1666.0,1.0,-944,,1000,DISTRICT30,TABLET
ACT-GC,Feb 2024,HEALTH CENTER,1779.0,0.0,,959.0,,137.0,-340,,30,DISTRICT19,BLISTER
PYRA-COMP,Dec 2023,HEALTH CENTER,142.0,,,119.0,,2467.0,311,150.0,100,DISTRICT27,TABLET
ACT-AD,Nov 2025,HEALTH CENTER,2189.0,3111.0,1081.0,2049.0,,20.0,156,562.0,1000,DISTRICT18,BLISTER
ITN,Aug 2024,HEALTH CENTER,211.0,0.0,1.0,,,75.0,-831,,50,DISTRICT33,PIECE
QUIN,Dec 2024,HEALTH CENTER,1033.0,,184.0,1472.0,1065.0,242.0,178,,1000,DISTRICT26,TABLET
RDT,May 2025,HEALTH CENTER,1854.0,,,2561.0,,,-72,194.0,1,DISTRICT23,PIECE
ACT-AD,Jan 2024,HEALTH CENTER,3525.0,1590.0,1155.0,3828.0,,3074.0,-102,1230.0,1000,DISTRICT33,BLISTER
ACT-GC,Mar 2024,HEALTH CENTER,1354.0,0.0,,,,219.0,-437,604.0,100,DISTRICT32,BLISTER
ACT-SC,Feb 2024,HEALTH CENTER,754.0,0.0,269.0,780.0,,,-1050,69.0,30,DISTRICT25,BLISTER
ART-SUP,Jun 2025,HEALTH CENTER,,942.0,23.0,,,3.0,-371,,50,DISTRICT36,CAPSULE
ACT-SC,May 2024,HEALTH CENTER,16.0,,2.0,,,0.0,-574,,1,DISTRICT18,BLISTER
ACT-INF,Nov 2025,HEALTH CENTER,,9.0,374.0,,,0.0,-339,183.0,30,DISTRICT6,BLISTER
PYRA-SAC,Feb 2025,HEALTH CENTER,827.0,1687.0,410.0,1530.0,,62.0,541,,30,DISTRICT23,SACHET
SP,Aug 2025,HEALTH CENTER,217.0,85.0,,760.0,,0.0,-365,142.0,30,DISTRICT37,TABLET
ART-INJ,Aug 2025,HEALTH CENTER,1241.0,153.0,206.0,2151.0,,,-39,,30,DISTRICT31,VIAL
QUIN,Mar 2025,HEALTH CENTER,512.0,,,1285.0,,3588.0,-667,120.0,30,DISTRICT1,TABLET
ACT-INF,Jan 2025,DISTRICT HOSPITAL,4096.0,1.0,894.0,1224.0,,1095.0,-669,822.0,30,DISTRICT32,BLISTER
PYRA-COMP,Jan 2025,HEALTH CENTER,46.0,99.0,191.0,218.0,1192.0,1410.0,-326,350.0,25,DISTRICT38,TABLET
ART-SUP,May 2025,HEALTH CENTER,1648.0,332.0,510.0,,,750.0,-1322,490.0,50,DISTRICT5,CAPSULE
ART-INJ,Jun 2025,HEALTH CENTER,335.0,0.0,,395.0,,47.0,1164,6.0,30,DISTRICT24,VIAL
ITN,Jul 2025,HEALTH CENTER,,0.0,,241.0,507.0,0.0,-483,32.0,30,DISTRICT38,PIECE
SP,Sep 2024,HEALTH CENTER,198.0,397.0,55.0,,,,-513,,30,DISTRICT13,TABLET
ITN,Feb 2025,HEALTH CENTER,117.0,1.0,,273.0,677.0,151.0,319,,30,DISTRICT32,PIECE
ACT-GC,Aug 2024,HEALTH CENTER,,,479.0,4385.0,,133.0,-266,276.0,30,DISTRICT29,BLISTER
PYRA-COMP,Jun 2025,HEALTH CENTER,23.0,0.0,31.0,122.0,,63.0,186,,1,DISTRICT8,TABLET
ACT-GC,Jan 2025,HEALTH CENTER,1500.0,332.0,,1366.0,,940.0,-289,300.0,30,DISTRICT4,BLISTER
ACT-GC,Nov 2024,HEALTH CENTER,870.0,6.0,,,,,-482,163.0,1000,DISTRICT32,BLISTER
ACT-SC,Oct 2025,HEALTH CENTER,,0.0,,175.0,,4.0,346,18.0,30,DISTRICT23,BLISTER
ACT-GC,Nov 2024,HEALTH CENTER,4.0,0.0,1.0,7.0,,119.0,246,,30,DISTRICT1,BLISTER
PYRA-COMP,Jan 2024,HEALTH CENTER,,475.0,,2393.0,482.0,2985.0,-102,269.0,1,DISTRICT9,TABLET
ACT-AD,Apr 2025,HEALTH CENTER,,290.0,,872.0,454.0,1296.0,-1096,538.0,30,DISTRICT3,BLISTER
ART-SUP,Jun 2025,HEALTH CENTER,,71.0,,3132.0,715.0,10.0,19,,1,DISTRICT30,CAPSULE
ACT-INF,May 2024,HEALTH CENTER,26.0,,60.0,79.0,,105.0,-508,11.0,30,DISTRICT28,BLISTER
ART-INJ,Jul 2025,HEALTH CENTER,1716.0,436.0,226.0,2165.0,,,-303,,50,DISTRICT7,VIAL
SP,Dec 2023,HEALTH CENTER,1344.0,,101.0,1323.0,,,478,41.0,1000,DISTRICT1,TABLET
ITN,Apr 2024,HEALTH CENTER,,268.0,381.0,,,,17,368.0,30,DISTRICT9,PIECE
ACT-AD,Jul 2025,DISTRICT HOSPITAL,43.0,0.0,,114.0,,0.0,-183,31.0,1,DISTRICT22,BLISTER
QUIN,Apr 2024,HEALTH CENTER,225.0,30.0,34.0,,,0.0,-234,21.0,1000,DISTRICT6,TABLET
ACT-AD,Jul 2025,HEALTH CENTER,1354.0,0.0,117.0,2716.0,,,48,9.0,1,DISTRICT13,BLISTER
PYRA-COMP,Mar 2024,HEALTH CENTER,,50.0,70.0,609.0,863.0,3.0,1093,362.0,100,DISTRICT38,TABLET
ACT-INF,Jan 2024,HEALTH CENTER,91.0,175.0,23.0,30.0,,0.0,8,0.0,30,DISTRICT1,BLISTER
ACT-GC,Feb 2025,HEALTH CENTER,178.0,7.0,194.0,643.0,,2.0,-471,177.0,1000,DISTRICT10,BLISTER
QUIN,Feb 2024,HEALTH CENTER,9.0,7.0,,,,2.0,384,36.0,1000,DISTRICT32,TABLET
ACT-GC,Apr 2025,HEALTH CENTER,,1.0,35.0,257.0,,0.0,466,29.0,1000,DISTRICT30,BLISTER
ITN,Sep 2024,HEALTH CENTER,435.0,,45.0,,,46.0,51,33.0,25,DISTRICT3,PIECE
ART-SUP,Mar 2025,HEALTH CENTER,343.0,,235.0,137.0,,,-612,64.0,25,DISTRICT23,CAPSULE
QUIN,Feb 2025,HEALTH CENTER,3793.0,344.0,952.0,4871.0,,3072.0,-55,753.0,1000,DISTRICT13,TABLET
QUIN,Mar 2025,HEALTH CENTER,758.0,15.0,345.0,2047.0,,156.0,751,81.0,1000,DISTRICT16,TABLET
ACT-SC,Sep 2025,HEALTH CENTER,797.0,0.0,14.0,,,0.0,507,,30,DISTRICT21,BLISTER
ART-SUP,May 2024,DISTRICT HOSPITAL,,26.0,21.0,871.0,,,801,5.0,5,DISTRICT7,CAPSULE
ACT-AD,Jun 2024,DISTRICT HOSPITAL,1890.0,754.0,833.0,1105.0,,1772.0,-272,879.0,1,DISTRICT9,BLISTER
ART-SUP,Aug 2025,HEALTH CENTER,301.0,,140.0,,,660.0,-661,,5,DISTRICT28,CAPSULE
ART-INJ,Jan 2025,HEALTH CENTER,3556.0,2204.0,,3678.0,,,5,1706.0,1000,DISTRICT11,VIAL
ITN,Nov 2024,DISTRICT HOSPITAL,2418.0,45.0,59.0,1544.0,,4.0,84,,30,DISTRICT33,PIECE
ART-SUP,Aug 2025,DISTRICT HOSPITAL,1144.0,0.0,69.0,717.0,,27.0,-370,92.0,25,DISTRICT29,CAPSULE
QUIN,Feb 2025,HEALTH CENTER,548.0,0.0,36.0,542.0,377.0,37.0,126,,1000,DISTRICT32,TABLET
ACT-GC,Jun 2025,HEALTH CENTER,251.0,13.0,138.0,85.0,,1757.0,99,84.0,30,DISTRICT3,BLISTER
RDT,Jun 2024,HEALTH CENTER,40.0,1.0,15.0,196.0,,0.0,474,4.0,1000,DISTRICT38,PIECE
PYRA-SAC,Nov 2025,HEALTH CENTER,380.0,0.0,5.0,,,2.0,572,5.0,25,DISTRICT33,SACHET
ART-SUP,Dec 2023,HEALTH CENTER,2238.0,,242.0,870.0,,96.0,-53,,30,DISTRICT29,CAPSULE
SP,Aug 2024,HEALTH CENTER,,3.0,85.0,247.0,,530.0,32,28.0,1000,DISTRICT36,TABLET
ACT-SC,Apr 2025,HEALTH CENTER,,342.0,429.0,1882.0,1486.0,717.0,31,,30,DISTRICT23,BLISTER
ACT-INF,May 2025,HEALTH CENTER,832.0,77.0,387.0,,407.0,329.0,734,,30,DISTRICT9,BLISTER
ACT-SC,Apr 2025,HEALTH CENTER,,12.0,7.0,385.0,433.0,0.0,-979,2.0,30,DISTRICT32,BLISTER
ACT-GC,Oct 2024,HEALTH CENTER,1174.0,,224.0,,,0.0,93,,1000,DISTRICT23,BLISTER
ACT-INF,Jun 2024,HEALTH CENTER,443.0,,43.0,,786.0,139.0,583,,25,DISTRICT25,BLISTER
PYRA-SAC,Apr 2025,HEALTH CENTER,1323.0,134.0,384.0,779.0,,1792.0,-463,,5,DISTRICT13,SACHET
ACT-SC,Oct 2024,HEALTH CENTER,224.0,203.0,236.0,217.0,707.0,778.0,-263,59.0,30,DISTRICT16,BLISTER
ACT-GC,Jan 2025,HEALTH CENTER,2677.0,,,,,9837.0,907,1310.0,1000,DISTRICT15,BLISTER
ACT-SC,Apr 2024,HEALTH CENTER,,,175.0,,,87.0,487,31.0,1,DISTRICT6,BLISTER
ART-SUP,Jun 2025,HEALTH CENTER,148.0,,,275.0,,388.0,511,,1,DISTRICT31,CAPSULE
ART-INJ,Aug 2025,HEALTH CENTER,4527.0,,907.0,7996.0,,,-258,,30,DISTRICT28,VIAL
PYRA-SAC,Jul 2024,HEALTH CENTER,8.0,0.0,,56.0,,4.0,-960,,2,DISTRICT32,SACHET
ITN,Feb 2024,HEALTH CENTER,1799.0,59.0,561.0,1785.0,,1020.0,497,393.0,100,DISTRICT18,PIECE
PYRA-SAC,Nov 2025,HEALTH CENTER,,509.0,484.0,3583.0,,58.0,-697,86.0,5,DISTRICT30,SACHET
PYRA-COMP,Jan 2024,REGIONAL HOSPITAL,86.0,133.0,21.0,,,55.0,-146,18.0,1,DISTRICT24,TABLET
QUIN,Jul 2024,HEALTH CENTER,630.0,0.0,,,,21.0,518,603.0,1000,DISTRICT19,TABLET
RDT,Apr 2025,HEALTH CENTER,1083.0,847.0,462.0,,,3.0,709,402.0,2,DISTRICT19,PIECE
RDT,Jan 2025,HEALTH CENTER,,1.0,180.0,,,4226.0,-45,164.0,2,DISTRICT19,PIECE
PYRA-COMP,Jan 2024,HEALTH CENTER,855.0,,315.0,1366.0,,11.0,73,179.0,50,DISTRICT7,TABLET
ACT-SC,Jun 2024,HEALTH CENTER,537.0,0.0,322.0,,,4322.0,535,191.0,50,DISTRICT7,BLISTER
PYRA-COMP,Jun 2025,HEALTH CENTER,136.0,,178.0,,,0.0,-723,54.0,5,DISTRICT32,TABLET
QUIN,Oct 2024,HEALTH CENTER,359.0,1.0,261.0,,,81.0,189,146.0,30,DISTRICT10,TABLET
ART-SUP,May 2025,HEALTH CENTER,,0.0,,163.0,,,322,0.0,5,DISTRICT31,CAPSULE
ACT-SC,Dec 2024,HEALTH CENTER,,2.0,191.0,791.0,,66.0,-678,33.0,25,DISTRICT4,BLISTER
RDT,Mar 2025,HEALTH CENTER,133.0,0.0,49.0,42.0,,2839.0,348,87.0,30,DISTRICT23,PIECE
ACT-AD,Jan 2024,HEALTH CENTER,314.0,2.0,312.0,,,40.0,474,180.0,25,DISTRICT16,BLISTER
ACT-GC,Jan 2024,HEALTH CENTER,7.0,,7.0,168.0,,50.0,3,,30,DISTRICT19,BLISTER
ACT-AD,Sep 2024,HEALTH CENTER,178.0,1.0,,,,0.0,-607,2.0,30,DISTRICT13,BLISTER
ACT-AD,Jan 2025,HEALTH CENTER,381.0,0.0,86.0,708.0,59.0,0.0,-289,,30,DISTRICT33,BLISTER
RDT,Nov 2025,HEALTH CENTER,,81.0,244.0,480.0,,241.0,295,210.0,30,DISTRICT31,PIECE
ACT-GC,Feb 2024,HEALTH CENTER,,0.0,0.0,1.0,1544.0,586.0,306,0.0,30,DISTRICT8,BLISTER
RDT,Mar 2025,HEALTH CENTER,2287.0,2.0,109.0,3550.0,,3.0,-268,23.0,1,DISTRICT29,PIECE
ACT-GC,Sep 2025,HEALTH CENTER,2815.0,194.0,997.0,,,,255,,25,DISTRICT8,BLISTER
ART-SUP,Sep 2024,HEALTH CENTER,988.0,126.0,171.0,1719.0,,251.0,-242,48.0,1,DISTRICT29,CAPSULE
PYRA-SAC,Jul 2024,HEALTH CENTER,1238.0,27.0,339.0,,,272.0,621,426.0,5,DISTRICT12,SACHET
RDT,May 2025,HEALTH CENTER,273.0,,121.0,635.0,,4.0,-583,129.0,2,DISTRICT20,PIECE
PYRA-COMP,Dec 2023,HEALTH CENTER,1834.0,1.0,,855.0,,2899.0,-1027,148.0,30,DISTRICT16,TABLET
ART-SUP,Mar 2024,HEALTH CENTER,,0.0,650.0,393.0,,9840.0,776,804.0,30,DISTRICT13,CAPSULE
RDT,Nov 2025,HEALTH CENTER,1765.0,25.0,233.0,545.0,,0.0,209,71.0,50,DISTRICT13,PIECE
QUIN,Apr 2024,DISTRICT HOSPITAL,1280.0,0.0,797.0,2337.0,,,316,281.0,30,DISTRICT11,TABLET
ITN,Apr 2024,HEALTH CENTER,1951.0,,,,,,-152,192.0,50,DISTRICT9,PIECE
PYRA-SAC,Mar 2025,HEALTH CENTER,790.0,,315.0,405.0,,1724.0,-245,106.0,5,DISTRICT30,SACHET
PYRA-COMP,Mar 2025,HEALTH CENTER,763.0,644.0,534.0,611.0,,136.0,-231,,5,DISTRICT29,TABLET
ACT-INF,Mar 2024,HEALTH CENTER,2091.0,0.0,112.0,713.0,,,-426,85.0,1,DISTRICT30,BLISTER
ACT-INF,Jan 2024,HEALTH CENTER,1360.0,0.0,607.0,,,518.0,4,571.0,1,DISTRICT9,BLISTER
ACT-INF,Mar 2025,HEALTH CENTER,659.0,,76.0,,,,-63,76.0,1000,DISTRICT35,BLISTER
SP,Jun 2025,HEALTH CENTER,,574.0,614.0,1194.0,,0.0,-123,,30,DISTRICT28,TABLET
ART-SUP,Feb 2025,HEALTH CENTER,,1.0,370.0,1120.0,,562.0,-172,333.0,25,DISTRICT16,CAPSULE
ITN,Feb 2024,HEALTH CENTER,,0.0,322.0,487.0,446.0,,509,,1000,DISTRICT5,PIECE
ACT-SC,May 2024,HEALTH CENTER,,142.0,340.0,,,582.0,-442,184.0,25,DISTRICT31,BLISTER
PYRA-SAC,Aug 2024,DISTRICT HOSPITAL,308.0,,359.0,96.0,647.0,,289,463.0,2,DISTRICT31,SACHET
RDT,Jul 2025,HEALTH CENTER,9.0,,8.0,5.0,1036.0,5103.0,148,,2,DISTRICT31,PIECE
ACT-GC,Jun 2025,DISTRICT HOSPITAL,19.0,,,512.0,,0.0,91,81.0,50,DISTRICT3,BLISTER
RDT,Aug 2025,DISTRICT HOSPITAL,627.0,,631.0,1952.0,,434.0,413,,1,DISTRICT26,PIECE
ACT-GC,Jan 2025,HEALTH CENTER,424.0,0.0,102.0,441.0,1158.0,34.0,-406,79.0,25,DISTRICT29,BLISTER
ACT-SC,Aug 2024,HEALTH CENTER,,0.0,,9.0,,3.0,-216,,2,DISTRICT32,BLISTER
ACT-INF,Dec 2024,HEALTH CENTER,90.0,,87.0,184.0,,297.0,-624,17.0,30,DISTRICT12,BLISTER
ACT-SC,Sep 2024,HEALTH CENTER,937.0,7.0,,973.0,,344.0,122,36.0,30,DISTRICT3,BLISTER
ACT-AD,Dec 2023,HEALTH CENTER,899.0,731.0,281.0,2235.0,,0.0,-327,215.0,30,DISTRICT14,BLISTER
ACT-GC,Jun 2024,HEALTH CENTER,197.0,5.0,,,933.0,1466.0,-101,128.0,1000,DISTRICT24,BLISTER
ACT-AD,Dec 2024,HEALTH CENTER,673.0,1512.0,491.0,,,419.0,360,431.0,50,DISTRICT28,BLISTER
ART-SUP,Dec 2024,HEALTH CENTER,,1.0,,1565.0,348.0,4.0,686,,30,DISTRICT20,CAPSULE
ACT-GC,Aug 2025,HEALTH CENTER,927.0,0.0,198.0,1897.0,,136.0,689,114.0,1000,DISTRICT26,BLISTER
RDT,Apr 2025,HEALTH CENTER,196.0,375.0,23.0,922.0,,0.0,-295,5.0,50,DISTRICT21,PIECE
ACT-INF,Mar 2024,HEALTH CENTER,,0.0,331.0,300.0,552.0,283.0,-317,281.0,50,DISTRICT33,BLISTER
ACT-GC,Mar 2024,HEALTH CENTER,,0.0,54.0,171.0,269.0,0.0,754,,30,DISTRICT9,BLISTER
ACT-AD,Feb 2025,HEALTH CENTER,935.0,4.0,,1103.0,450.0,121.0,615,,1,DISTRICT15,BLISTER
PYRA-COMP,Oct 2024,HEALTH CENTER,,7.0,41.0,6.0,,,-203,62.0,30,DISTRICT5,TABLET
ITN,Dec 2023,HEALTH CENTER,51.0,41.0,,59.0,1390.0,2378.0,412,11.0,25,DISTRICT31,PIECE
RDT,Jan 2025,HEALTH CENTER,,618.0,,,,268.0,132,290.0,30,DISTRICT37,PIECE
QUIN,Jun 2025,HEALTH CENTER,1235.0,0.0,254.0,487.0,,,588,,1000,DISTRICT33,TABLET
PYRA-SAC,Jan 2025,HEALTH CENTER,,951.0,285.0,,,245.0,492,,5,DISTRICT31,SACHET
ACT-SC,Oct 2025,HEALTH CENTER,25.0,0.0,69.0,175.0,,,860,,30,DISTRICT25,BLISTER
RDT,Feb 2025,HEALTH CENTER,,146.0,43.0,,,0.0,398,,25,DISTRICT25,PIECE
