product_primary_name,processing_periods_name,facility_type_name,beginning_balance,quantity_received,quantity_dispensed,stock_in_hand,quantity_requested,quantity_approved,total_losses_and_adjustments,amc,pack_size,zone,dispensing_unit
RDT,2025-05-01,HEALTH CENTER,1.0,0.0,0.0,2.0,,0.0,-30,0.0,25,DISTRICT33,PIECE
ART-SUP,2024-07-01,HEALTH CENTER,585.0,18.0,202.0,701.0,585.0,44.0,-206,309.0,2,DISTRICT13,CAPSULE
ACT-INF,2024-08-01,HEALTH CENTER,173.0,0.0,42.0,852.0,,499.0,138,4.0,30,DISTRICT36,BLISTER
ART-INJ,2025-08-01,HEALTH CENTER,3435.0,2.0,875.0,1321.0,,2677.0,271,489.0,5,DISTRICT10,VIAL
ITN,2024-11-01,DISTRICT HOSPITAL,211.0,0.0,17.0,173.0,,241.0,-745,36.0,50,DISTRICT25,PIECE
ART-SUP,2024-03-01,HEALTH CENTER,1562.0,9.0,595.0,1404.0,,0.0,214,311.0,2,DISTRICT16,CAPSULE
ITN,2024-09-01,HEALTH CENTER,796.0,380.0,269.0,1414.0,,,-331,347.0,50,DISTRICT29,PIECE
QUIN,2024-06-01,HEALTH CENTER,1279.0,2.0,283.0,1977.0,584.0,408.0,-1007,309.0,1000,DISTRICT7,TABLET
QUIN,2024-01-01,HEALTH CENTER,4772.0,11.0,874.0,3820.0,302.0,0.0,95,303.0,1000,DISTRICT32,TABLET
RDT,2025-04-01,HEALTH CENTER,810.0,41.0,166.0,721.0,,438.0,-910,123.0,25,DISTRICT32,PIECE
ACT-INF,2025-07-01,HEALTH CENTER,114.0,2.0,48.0,80.0,,170.0,-13,21.0,30,DISTRICT16,BLISTER
RDT,2024-10-01,HEALTH CENTER,163.0,6.0,142.0,16.0,,2193.0,-91,437.0,25,DISTRICT8,PIECE
ART-INJ,2025-11-01,DISTRICT HOSPITAL,959.0,31.0,176.0,779.0,582.0,25.0,-483,53.0,5,DISTRICT28,VIAL
QUIN,2024-08-01,HEALTH CENTER,23.0,0.0,51.0,1.0,,1.0,-209,72.0,1000,DISTRICT2,TABLET
ACT-SC,2024-07-01,HEALTH CENTER,412.0,35.0,250.0,338.0,,891.0,-333,57.0,30,DISTRICT13,BLISTER
ACT-INF,2024-04-01,HEALTH CENTER,4600.0,3.0,580.0,970.0,,9377.0,-266,573.0,30,DISTRICT13,BLISTER
ACT-GC,2024-02-01,HEALTH CENTER,983.0,0.0,225.0,1166.0,,1106.0,-109,90.0,30,DISTRICT5,BLISTER
ART-SUP,2025-02-01,HEALTH CENTER,56.0,399.0,69.0,727.0,351.0,0.0,712,77.0,2,DISTRICT13,CAPSULE
ITN,2025-08-01,HEALTH CENTER,3461.0,0.0,827.0,2041.0,,2287.0,-234,802.0,50,DISTRICT3,PIECE
QUIN,2024-09-01,DISTRICT HOSPITAL,1835.0,3.0,376.0,1748.0,660.0,0.0,-237,161.0,1000,DISTRICT21,TABLET
ACT-SC,2023-12-01,HEALTH CENTER,2606.0,927.0,316.0,1537.0,,88.0,297,226.0,30,DISTRICT3,BLISTER
SP,2024-04-01,HEALTH CENTER,472.0,652.0,226.0,699.0,,0.0,-22,179.0,1000,DISTRICT9,TABLET
ACT-GC,2025-05-01,HEALTH CENTER,3960.0,0.0,558.0,1227.0,,275.0,8,126.0,30,DISTRICT32,BLISTER
SP,2025-06-01,HEALTH CENTER,2755.0,1.0,1341.0,3201.0,,126.0,-185,1104.0,1000,DISTRICT15,TABLET
ACT-INF,2024-05-01,HEALTH CENTER,7757.0,1215.0,1688.0,5216.0,,405.0,86,1441.0,30,DISTRICT25,BLISTER
SP,2024-02-01,HEALTH CENTER,432.0,0.0,98.0,153.0,,24.0,-407,92.0,1000,DISTRICT3,TABLET
PYRA-SAC,2024-11-01,HEALTH CENTER,4617.0,54.0,459.0,3797.0,,78.0,-104,299.0,1,DISTRICT30,SACHET
ACT-SC,2024-02-01,HEALTH CENTER,379.0,293.0,606.0,325.0,,2051.0,-256,351.0,30,DISTRICT5,BLISTER
PYRA-COMP,2025-04-01,HEALTH CENTER,5041.0,100.0,1241.0,2295.0,,6825.0,-144,1718.0,1,DISTRICT19,TABLET
ACT-AD,2025-04-01,HEALTH CENTER,1427.0,36.0,1130.0,1652.0,,2789.0,227,937.0,30,DISTRICT32,BLISTER
ART-INJ,2025-03-01,HEALTH CENTER,1723.0,1548.0,412.0,1209.0,,1.0,-313,164.0,5,DISTRICT10,VIAL
ACT-INF,2024-12-01,REGIONAL HOSPITAL,2.0,33.0,0.0,3.0,,,336,1.0,30,DISTRICT10,BLISTER
ITN,2023-12-01,HEALTH CENTER,0.0,71.0,1.0,44.0,,,285,0.0,50,DISTRICT23,PIECE
SP,2024-02-01,HEALTH CENTER,2017.0,108.0,344.0,2113.0,,,308,387.0,1000,DISTRICT1,TABLET
ACT-GC,2024-05-01,HEALTH CENTER,215.0,25.0,400.0,370.0,,1188.0,133,336.0,30,DISTRICT18,BLISTER
PYRA-COMP,2024-11-01,HEALTH CENTER,2748.0,35.0,776.0,1642.0,,9736.0,-368,439.0,1,DISTRICT8,TABLET
ACT-INF,2024-09-01,HEALTH CENTER,35.0,0.0,37.0,184.0,,299.0,533,25.0,30,DISTRICT19,BLISTER
ACT-AD,2025-11-01,HEALTH CENTER,43.0,0.0,14.0,75.0,,,453,2.0,30,DISTRICT32,BLISTER
SP,2025-10-01,HEALTH CENTER,1812.0,0.0,423.0,3124.0,,0.0,66,563.0,1000,DISTRICT15,TABLET
ART-INJ,2024-09-01,HEALTH CENTER,323.0,21.0,39.0,1166.0,,0.0,-8,35.0,5,DISTRICT4,VIAL
RDT,2024-02-01,HEALTH CENTER,722.0,0.0,61.0,367.0,620.0,734.0,-158,53.0,25,DISTRICT31,PIECE
RDT,2025-09-01,HEALTH CENTER,339.0,536.0,383.0,1345.0,,2.0,351,333.0,25,DISTRICT33,PIECE
PYRA-SAC,2025-04-01,HEALTH CENTER,606.0,0.0,506.0,563.0,,0.0,-397,320.0,1,DISTRICT23,SACHET
PYRA-SAC,2025-07-01,DISTRICT HOSPITAL,694.0,0.0,82.0,912.0,,456.0,42,79.0,1,DISTRICT35,SACHET
RDT,2024-10-01,HEALTH CENTER,2495.0,60.0,746.0,3878.0,1145.0,1.0,503,398.0,25,DISTRICT30,PIECE
ART-SUP,2024-05-01,HEALTH CENTER,12.0,0.0,50.0,39.0,357.0,0.0,-68,114.0,2,DISTRICT15,CAPSULE
PYRA-COMP,2025-09-01,HEALTH CENTER,2801.0,24.0,485.0,2750.0,544.0,481.0,137,289.0,1,DISTRICT6,TABLET
ACT-INF,2025-09-01,HEALTH CENTER,1388.0,0.0,236.0,1125.0,527.0,,-553,516.0,30,DISTRICT23,BLISTER
ART-INJ,2025-09-01,HEALTH CENTER,1236.0,7.0,165.0,437.0,,2085.0,102,242.0,5,DISTRICT16,VIAL
ACT-GC,2025-08-01,HEALTH CENTER,1470.0,10.0,165.0,1300.0,,59.0,160,101.0,30,DISTRICT15,BLISTER
ACT-AD,2025-04-01,HEALTH CENTER,4714.0,3.0,908.0,2832.0,,3646.0,358,1102.0,30,DISTRICT14,BLISTER
ACT-SC,2025-03-01,HEALTH CENTER,580.0,163.0,481.0,348.0,818.0,386.0,225,343.0,30,DISTRICT23,BLISTER
RDT,2023-12-01,NATIONAL HOSPITAL,1.0,0.0,1.0,47.0,123.0,,-11,0.0,25,DISTRICT32,PIECE
SP,2025-11-01,HEALTH CENTER,1166.0,44.0,766.0,1867.0,,224.0,-246,644.0,1000,DISTRICT11,TABLET
PYRA-SAC,2025-01-01,HEALTH CENTER,597.0,7.0,209.0,621.0,195.0,2.0,648,90.0,1,DISTRICT33,SACHET
ART-SUP,2024-10-01,HEALTH CENTER,12.0,294.0,1.0,12.0,,,21,0.0,2,DISTRICT33,CAPSULE
PYRA-SAC,2025-04-01,HEALTH CENTER,2668.0,4.0,429.0,1589.0,,137.0,270,286.0,1,DISTRICT16,SACHET
ART-INJ,2024-12-01,HEALTH CENTER,1957.0,128.0,1189.0,1861.0,,4707.0,675,872.0,5,DISTRICT28,VIAL
ACT-AD,2024-06-01,HEALTH CENTER,5.0,56.0,1.0,30.0,,912.0,-213,1.0,30,DISTRICT29,BLISTER
SP,2024-10-01,HEALTH CENTER,665.0,2.0,198.0,691.0,,2.0,-241,112.0,1000,DISTRICT21,TABLET
ACT-INF,2023-12-01,HEALTH CENTER,230.0,71.0,79.0,679.0,,179.0,93,74.0,30,DISTRICT15,BLISTER
PYRA-SAC,2025-07-01,HEALTH CENTER,264.0,105.0,172.0,282.0,759.0,454.0,205,92.0,1,DISTRICT28,SACHET
RDT,2024-06-01,HEALTH CENTER,824.0,26.0,476.0,105.0,,9219.0,451,129.0,25,DISTRICT1,PIECE
ACT-SC,2025-08-01,HEALTH CENTER,1013.0,32.0,568.0,1007.0,,707.0,-34,779.0,30,DISTRICT30,BLISTER
PYRA-SAC,2023-12-01,HEALTH CENTER,458.0,10.0,86.0,178.0,1515.0,,222,190.0,1,DISTRICT27,SACHET
ACT-GC,2025-04-01,HEALTH CENTER,13.0,195.0,48.0,431.0,,11.0,-118,19.0,30,DISTRICT32,BLISTER
ACT-AD,2024-10-01,HEALTH CENTER,13.0,0.0,28.0,10.0,,18.0,740,14.0,30,DISTRICT23,BLISTER
PYRA-COMP,2025-07-01,HEALTH CENTER,7.0,29.0,62.0,54.0,,849.0,144,36.0,1,DISTRICT15,TABLET
PYRA-COMP,2025-06-01,HEALTH CENTER,73.0,127.0,10.0,56.0,279.0,0.0,-299,1.0,1,DISTRICT31,TABLET
ACT-GC,2024-03-01,HEALTH CENTER,1260.0,40.0,89.0,698.0,,2.0,-405,65.0,30,DISTRICT17,BLISTER
ACT-INF,2024-03-01,HEALTH CENTER,87.0,295.0,47.0,173.0,,,337,5.0,30,DISTRICT6,BLISTER
ACT-INF,2024-04-01,REGIONAL HOSPITAL,233.0,565.0,307.0,916.0,1030.0,2082.0,-226,473.0,30,DISTRICT27,BLISTER
ACT-AD,2025-02-01,HEALTH CENTER,1623.0,505.0,1202.0,1726.0,2610.0,6403.0,235,886.0,30,DISTRICT2,BLISTER
ART-INJ,2023-12-01,HEALTH CENTER,1743.0,0.0,199.0,803.0,712.0,5.0,623,223.0,5,DISTRICT13,VIAL
ART-INJ,2024-09-01,HEALTH CENTER,49.0,3.0,2.0,678.0,,2.0,-26,1.0,5,DISTRICT23,VIAL
ART-INJ,2024-02-01,HEALTH CENTER,5416.0,0.0,805.0,2971.0,,269.0,141,780.0,5,DISTRICT2,VIAL
ACT-SC,2024-12-01,HEALTH CENTER,1184.0,1038.0,411.0,514.0,1212.0,,-191,646.0,30,DISTRICT6,BLISTER
RDT,2025-09-01,HEALTH CENTER,3739.0,30.0,907.0,2407.0,,776.0,-487,1010.0,25,DISTRICT31,PIECE
ACT-INF,2025-06-01,HEALTH CENTER,387.0,0.0,15.0,217.0,,,-453,1.0,30,DISTRICT24,BLISTER
ACT-SC,2024-03-01,HEALTH CENTER,18.0,1.0,4.0,136.0,,580.0,135,1.0,30,DISTRICT6,BLISTER
ART-INJ,2024-12-01,HEALTH CENTER,437.0,0.0,195.0,185.0,784.0,4225.0,-615,99.0,5,DISTRICT28,VIAL
ITN,2024-08-01,HEALTH CENTER,224.0,3.0,194.0,600.0,,2059.0,75,200.0,50,DISTRICT15,PIECE
ITN,2025-04-01,HEALTH CENTER,1866.0,0.0,398.0,974.0,,93.0,515,165.0,50,DISTRICT16,PIECE
ART-INJ,2024-07-01,HEALTH CENTER,0.0,9.0,2.0,3.0,1292.0,0.0,5,0.0,5,DISTRICT9,VIAL
ACT-AD,2024-08-01,HEALTH CENTER,183.0,33.0,193.0,631.0,,,407,53.0,30,DISTRICT22,BLISTER
ACT-INF,2024-01-01,HEALTH CENTER,1628.0,193.0,422.0,2483.0,,0.0,-281,189.0,30,DISTRICT25,BLISTER
PYRA-COMP,2024-06-01,HEALTH CENTER,295.0,206.0,140.0,521.0,712.0,4402.0,366,101.0,1,DISTRICT28,TABLET
ACT-SC,2025-07-01,DISTRICT HOSPITAL,856.0,52.0,75.0,167.0,501.0,0.0,-683,15.0,30,DISTRICT16,BLISTER
PYRA-SAC,2025-01-01,HEALTH CENTER,1245.0,472.0,262.0,510.0,,335.0,789,73.0,1,DISTRICT16,SACHET
ACT-SC,2025-09-01,HEALTH CENTER,586.0,99.0,359.0,1007.0,,143.0,193,557.0,30,DISTRICT33,BLISTER
ACT-GC,2024-03-01,HEALTH CENTER,1091.0,235.0,302.0,784.0,,352.0,338,93.0,30,DISTRICT1,BLISTER
ACT-GC,2024-02-01,HEALTH CENTER,2609.0,0.0,708.0,495.0,302.0,1361.0,912,954.0,30,DISTRICT6,BLISTER
ITN,2024-09-01,DISTRICT HOSPITAL,4319.0,1.0,2026.0,4124.0,,2183.0,55,916.0,50,DISTRICT18,PIECE
ART-SUP,2023-12-01,HEALTH CENTER,79.0,0.0,5.0,4.0,222.0,24.0,-192,0.0,2,DISTRICT32,CAPSULE
ART-SUP,2024-09-01,HEALTH CENTER,64.0,0.0,9.0,18.0,,25.0,-191,3.0,2,DISTRICT29,CAPSULE
ACT-INF,2025-03-01,HEALTH CENTER,244.0,618.0,147.0,522.0,,,253,115.0,30,DISTRICT23,BLISTER
ITN,2025-09-01,HEALTH CENTER,2936.0,752.0,133.0,1298.0,,0.0,636,45.0,50,DISTRICT8,PIECE
ACT-INF,2025-09-01,HEALTH CENTER,743.0,5.0,136.0,723.0,,0.0,434,49.0,30,DISTRICT17,BLISTER
ACT-INF,2024-10-01,HEALTH CENTER,8.0,761.0,56.0,419.0,,704.0,-145,2.0,30,DISTRICT1,BLISTER
PYRA-COMP,2024-05-01,HEALTH CENTER,863.0,26.0,422.0,703.0,,,-56,253.0,1,DISTRICT18,TABLET
ART-INJ,2024-03-01,DISTRICT HOSPITAL,141.0,523.0,132.0,239.0,,745.0,-32,121.0,5,DISTRICT23,VIAL
ITN,2025-07-01,HEALTH CENTER,6.0,170.0,7.0,218.0,,0.0,-167,2.0,50,DISTRICT23,PIECE
ART-SUP,2025-05-01,HEALTH CENTER,409.0,0.0,164.0,95.0,,742.0,200,60.0,2,DISTRICT25,CAPSULE
SP,2025-08-01,HEALTH CENTER,4648.0,663.0,1309.0,4935.0,,92.0,-259,983.0,1000,DISTRICT1,TABLET
ACT-SC,2025-01-01,HEALTH CENTER,1705.0,5.0,332.0,281.0,,447.0,-465,599.0,30,DISTRICT19,BLISTER
SP,2024-07-01,DISTRICT HOSPITAL,206.0,8.0,29.0,24.0,645.0,5.0,-131,5.0,1000,DISTRICT33,TABLET
ART-SUP,2025-07-01,HEALTH CENTER,4.0,0.0,10.0,12.0,,0.0,225,3.0,2,DISTRICT12,CAPSULE
ACT-GC,2024-07-01,DISTRICT HOSPITAL,159.0,1.0,156.0,807.0,,1250.0,334,93.0,30,DISTRICT32,BLISTER
RDT,2024-04-01,HEALTH CENTER,3377.0,402.0,1195.0,2485.0,,,-162,852.0,25,DISTRICT29,PIECE
ACT-INF,2024-08-01,HEALTH CENTER,3173.0,46.0,600.0,3621.0,810.0,444.0,177,134.0,30,DISTRICT4,BLISTER
ACT-SC,2024-12-01,HEALTH CENTER,118.0,0.0,77.0,345.0,,65.0,-160,6.0,30,DISTRICT19,BLISTER
QUIN,2024-06-01,HEALTH CENTER,1163.0,622.0,271.0,1892.0,743.0,3.0,56,382.0,1000,DISTRICT1,TABLET
ACT-SC,2024-03-01,HEALTH CENTER,2227.0,1571.0,335.0,2735.0,,6.0,79,405.0,30,DISTRICT20,BLISTER
SP,2024-09-01,HEALTH CENTER,1443.0,821.0,440.0,2512.0,1536.0,,547,192.0,1000,DISTRICT24,TABLET
ACT-INF,2025-05-01,HEALTH CENTER,488.0,3.0,296.0,934.0,,25.0,-566,65.0,30,DISTRICT7,BLISTER
ART-INJ,2025-10-01,HEALTH CENTER,354.0,177.0,441.0,859.0,,3462.0,472,750.0,5,DISTRICT8,VIAL
ART-SUP,2024-06-01,HEALTH CENTER,44.0,0.0,209.0,216.0,,1679.0,174,712.0,2,DISTRICT31,CAPSULE
ACT-AD,2025-05-01,HEALTH CENTER,665.0,7.0,218.0,1091.0,,10.0,439,78.0,30,DISTRICT1,BLISTER
ACT-GC,2025-10-01,HEALTH CENTER,991.0,0.0,149.0,496.0,,0.0,-241,73.0,30,DISTRICT29,BLISTER
PYRA-COMP,2025-08-01,HEALTH CENTER,658.0,0.0,140.0,205.0,,16.0,-610,25.0,1,DISTRICT28,TABLET
ACT-INF,2025-11-01,HEALTH CENTER,706.0,9.0,508.0,2228.0,575.0,2086.0,661,367.0,30,DISTRICT36,BLISTER
RDT,2024-01-01,HEALTH CENTER,867.0,98.0,236.0,3592.0,867.0,2152.0,906,273.0,25,DISTRICT22,PIECE
ACT-INF,2024-09-01,HEALTH CENTER,207.0,283.0,172.0,681.0,,,337,274.0,30,DISTRICT1,BLISTER
PYRA-COMP,2025-11-01,HEALTH CENTER,627.0,201.0,90.0,640.0,,951.0,-168,112.0,1,DISTRICT29,TABLET
QUIN,2025-05-01,HEALTH CENTER,4948.0,69.0,1758.0,2663.0,,65.0,226,2105.0,1000,DISTRICT8,TABLET
ACT-AD,2024-11-01,DISTRICT HOSPITAL,340.0,122.0,284.0,84.0,,13294.0,-215,382.0,30,DISTRICT12,BLISTER
ACT-AD,2024-10-01,HEALTH CENTER,917.0,0.0,62.0,624.0,,,513,8.0,30,DISTRICT3,BLISTER
QUIN,2025-10-01,HEALTH CENTER,14.0,1.0,23.0,11.0,146.0,,5,13.0,1000,DISTRICT38,TABLET
PYRA-COMP,2024-06-01,DISTRICT HOSPITAL,1899.0,3.0,165.0,2258.0,601.0,,374,68.0,1,DISTRICT28,TABLET
ITN,2024-02-01,HEALTH CENTER,1489.0,14.0,344.0,1050.0,,,338,372.0,50,DISTRICT9,PIECE
ART-INJ,2025-09-01,HEALTH CENTER,5266.0,0.0,173.0,1745.0,,1.0,81,103.0,5,DISTRICT6,VIAL
SP,2024-07-01,HEALTH CENTER,7.0,5.0,30.0,192.0,,0.0,-74,1.0,1000,DISTRICT5,TABLET
PYRA-SAC,2024-09-01,HEALTH CENTER,508.0,0.0,105.0,895.0,,38.0,-41,25.0,1,DISTRICT35,SACHET
ART-INJ,2025-07-01,HEALTH CENTER,834.0,0.0,10.0,679.0,408.0,,157,29.0,5,DISTRICT33,VIAL
ART-INJ,2025-05-01,HEALTH CENTER,536.0,289.0,573.0,1715.0,,35.0,-1089,285.0,5,DISTRICT5,VIAL
ART-SUP,2024-06-01,HEALTH CENTER,737.0,711.0,137.0,389.0,,,-61,200.0,2,DISTRICT16,CAPSULE
ACT-SC,2024-04-01,HEALTH CENTER,365.0,520.0,517.0,555.0,813.0,2024.0,-663,345.0,30,DISTRICT32,BLISTER
PYRA-COMP,2024-05-01,HEALTH CENTER,660.0,227.0,320.0,815.0,1606.0,230.0,-82,278.0,1,DISTRICT17,TABLET
ITN,2024-12-01,HEALTH CENTER,1644.0,7.0,96.0,249.0,,143.0,122,146.0,50,DISTRICT26,PIECE
ART-INJ,2025-02-01,HEALTH CENTER,6242.0,588.0,1440.0,4487.0,,1155.0,634,1852.0,5,DISTRICT10,VIAL
ACT-INF,2024-09-01,HEALTH CENTER,210.0,0.0,98.0,103.0,,414.0,950,58.0,30,DISTRICT20,BLISTER
ACT-SC,2025-09-01,HEALTH CENTER,705.0,0.0,14.0,1490.0,149.0,,135,1.0,30,DISTRICT17,BLISTER
ACT-INF,2024-03-01,DISTRICT HOSPITAL,358.0,13.0,67.0,776.0,,0.0,194,108.0,30,DISTRICT35,BLISTER
ART-SUP,2024-03-01,HEALTH CENTER,4777.0,0.0,422.0,1771.0,,15.0,-1077,164.0,2,DISTRICT15,CAPSULE
ART-SUP,2024-10-01,HEALTH CENTER,2767.0,546.0,621.0,4056.0,,,24,305.0,2,DISTRICT23,CAPSULE
ACT-AD,2024-07-01,HEALTH CENTER,1938.0,821.0,423.0,1226.0,,14.0,228,331.0,30,DISTRICT18,BLISTER
ACT-INF,2024-05-01,HEALTH CENTER,3.0,0.0,1.0,1.0,84.0,,360,1.0,30,DISTRICT13,BLISTER
ACT-AD,2023-12-01,HEALTH CENTER,127.0,7.0,38.0,33.0,502.0,0.0,-427,3.0,30,DISTRICT31,BLISTER
ACT-AD,2024-05-01,HEALTH CENTER,3957.0,63.0,866.0,4544.0,,154.0,489,544.0,30,DISTRICT13,BLISTER
QUIN,2024-08-01,HEALTH CENTER,481.0,82.0,101.0,470.0,,153.0,-1029,41.0,1000,DISTRICT25,TABLET
ACT-INF,2025-08-01,HEALTH CENTER,1445.0,0.0,255.0,1906.0,,0.0,-94,215.0,30,DISTRICT20,BLISTER
RDT,2024-05-01,HEALTH CENTER,627.0,13.0,56.0,625.0,,0.0,221,25.0,25,DISTRICT33,PIECE
ACT-INF,2024-11-01,HEALTH CENTER,908.0,2.0,29.0,633.0,,11.0,-795,10.0,30,DISTRICT32,BLISTER
ART-INJ,2024-04-01,HEALTH CENTER,297.0,278.0,239.0,1029.0,,967.0,261,255.0,5,DISTRICT19,VIAL
ACT-GC,2025-02-01,HEALTH CENTER,417.0,24.0,237.0,341.0,983.0,3.0,405,257.0,30,DISTRICT8,BLISTER
PYRA-SAC,2024-02-01,HEALTH CENTER,3.0,19.0,32.0,29.0,,114.0,-223,18.0,1,DISTRICT14,SACHET
QUIN,2025-04-01,HEALTH CENTER,85.0,0.0,117.0,279.0,,0.0,50,24.0,1000,DISTRICT35,TABLET
PYRA-COMP,2025-09-01,HEALTH CENTER,1591.0,195.0,705.0,1265.0,1003.0,56.0,140,576.0,1,DISTRICT29,TABLET
QUIN,2024-06-01,HEALTH CENTER,1201.0,13.0,221.0,1763.0,,79.0,-359,263.0,1000,DISTRICT22,TABLET
ACT-SC,2024-05-01,HEALTH CENTER,122.0,0.0,233.0,220.0,,728.0,-102,307.0,30,DISTRICT1,BLISTER
QUIN,2024-12-01,HEALTH CENTER,1478.0,0.0,306.0,1337.0,,19.0,-240,77.0,1000,DISTRICT16,TABLET
ART-SUP,2024-08-01,HEALTH CENTER,946.0,87.0,439.0,1311.0,,9039.0,-715,487.0,2,DISTRICT18,CAPSULE
ACT-GC,2023-12-01,HEALTH CENTER,1481.0,0.0,208.0,600.0,,0.0,582,13.0,30,DISTRICT29,BLISTER
PYRA-COMP,2024-06-01,HEALTH CENTER,553.0,68.0,167.0,184.0,2428.0,7426.0,84,296.0,1,DISTRICT35,TABLET
QUIN,2025-10-01,HEALTH CENTER,1.0,326.0,19.0,55.0,346.0,343.0,-299,15.0,1000,DISTRICT21,TABLET
ACT-SC,2025-11-01,HEALTH CENTER,3425.0,502.0,1398.0,5671.0,,0.0,173,1700.0,30,DISTRICT24,BLISTER
ACT-GC,2025-08-01,HEALTH CENTER,1064.0,16.0,250.0,997.0,,,-506,87.0,30,DISTRICT31,BLISTER
SP,2024-12-01,HEALTH CENTER,1025.0,0.0,222.0,382.0,261.0,,19,285.0,1000,DISTRICT16,TABLET
ACT-SC,2025-06-01,HEALTH CENTER,3479.0,147.0,702.0,2118.0,,,217,376.0,30,DISTRICT5,BLISTER
ITN,2024-10-01,HEALTH CENTER,1040.0,73.0,69.0,612.0,313.0,14.0,7,7.0,50,DISTRICT26,PIECE
ART-SUP,2024-03-01,HEALTH CENTER,103.0,35.0,40.0,127.0,,68.0,-280,5.0,2,DISTRICT10,CAPSULE
QUIN,2025-11-01,HEALTH CENTER,417.0,355.0,58.0,236.0,167.0,,-299,39.0,1000,DISTRICT28,TABLET
PYRA-COMP,2024-03-01,HEALTH CENTER,4.0,12.0,17.0,6.0,,1.0,-594,6.0,1,DISTRICT31,TABLET
ACT-AD,2024-10-01,HEALTH CENTER,190.0,573.0,139.0,290.0,,0.0,380,16.0,30,DISTRICT13,BLISTER
PYRA-COMP,2024-02-01,HEALTH CENTER,44.0,0.0,8.0,217.0,,7.0,-630,4.0,1,DISTRICT21,TABLET
ART-INJ,2025-01-01,HEALTH CENTER,893.0,0.0,413.0,163.0,795.0,5521.0,-209,252.0,5,DISTRICT35,VIAL
PYRA-SAC,2024-04-01,HEALTH CENTER,1382.0,837.0,354.0,1922.0,2361.0,,-362,141.0,1,DISTRICT24,SACHET
