,quantity_approved
137,1.0
315,3063.0
4102,0.0
3676,4974.0
1863,0.0
3531,0.0
6792,0.0
7399,169.0
245,23.0
7558,13971.0
6766,1939.0
1144,11.0
1271,65.0
3791,1.0
7445,12918.0
886,0.0
1407,0.0
8551,48.0
8640,5901.0
6404,19.0
6808,0.0
1416,0.0
7915,18.0
6606,6575.0
754,0.0
576,0.0
5775,841.0
4125,437.0
1846,0.0
3234,152.0
8144,7.0
4716,0.0
8351,0.0
6840,270.0
3471,454.0
6153,0.0
938,0.0
2339,11.0
1959,235.0
7018,204.0
6011,0.0
8015,26.0
7810,0.0
1211,1440.0
3838,2080.0
1059,3.0
6540,251.0
7785,0.0
2256,2405.0
459,2012.0
3554,291.0
89,33.0
3316,34.0
3180,554.0
753,23.0
7929,6.0
3125,2.0
3803,1.0
8061,0.0
7413,3.0
7380,263.0
2054,1303.0
3846,122.0
8322,3133.0
4253,987.0
293,665.0
7364,0.0
2018,2656.0
8202,0.0
5995,1916.0
8573,0.0
4293,1465.0
2642,6260.0
552,2023.0
6500,2279.0
2129,0.0
557,257.0
2992,1479.0
1608,0.0
1783,19.0
7425,882.0
1605,313.0
4387,0.0
4053,0.0
6441,0.0
1408,0.0
5911,647.0
7204,2569.0
281,0.0
683,1405.0
7447,99.0
4498,955.0
6975,0.0
798,95.0
3191,0.0
7512,1700.0
4713,0.0
3089,778.0
2548,15.0
5314,0.0
5991,151.0
6077,0.0
6899,156.0
8669,1.0
4291,0.0
4841,27.0
4086,967.0
7024,241.0
7136,104.0
2322,209.0
7570,1.0
2628,0.0
7302,566.0
3063,4249.0
336,117.0
7991,1.0
4552,1.0
2929,91.0
4273,3330.0
8467,560.0
4337,444.0
5764,11576.0
4564,0.0
7621,1.0
3271,462.0
36,444.0
6268,1785.0
2264,81.0
3525,0.0
4817,7111.0
2960,13.0
3327,135.0
4959,566.0
4672,1.0
6688,968.0
3241,755.0
5339,1.0
8186,10.0
7913,5.0
6929,10.0
885,364.0
8473,0.0
6619,16.0
8762,0.0
1227,0.0
7794,0.0
6650,8429.0
835,0.0
266,0.0
6932,599.0
5134,3676.0
5836,579.0
4809,240.0
4680,133.0
4045,3214.0
5727,799.0
4537,327.0
8398,259.0
3908,1.0
6734,3.0
2479,1.0
4252,438.0
5267,179.0
270,1290.0
4019,0.0
2989,0.0
2417,480.0
4810,798.0
5250,69.0
4432,0.0
5305,4.0
2114,2271.0
5017,174.0
4185,3.0
4108,371.0
2182,254.0
7180,6.0
1539,0.0
4184,0.0
8146,7987.0
6983,1437.0
5792,78.0
782,1.0
8432,0.0
1935,0.0
2759,45.0
3437,8721.0
575,1.0
6512,0.0
622,812.0
1661,917.0
7737,779.0
2553,6.0
7689,0.0
6553,1919.0
5534,1641.0
4241,732.0
955,346.0
7956,0.0
1758,38.0
8084,0.0
4350,43.0
7450,423.0
5658,0.0
6043,800.0
7016,7.0
4659,0.0
7004,1.0
2702,2.0
6040,197.0
553,21.0
6574,7.0
7207,252.0
8115,445.0
4076,2041.0
7867,0.0
6272,12.0
7282,224.0
445,156.0
4375,3.0
8423,9.0
8019,3643.0
5626,17.0
1372,3.0
2434,545.0
1889,0.0
7007,34.0
2873,174.0
7675,4102.0
5382,6.0
4202,426.0
6783,23.0
7048,0.0
2829,2.0
6849,1692.0
2422,3.0
8491,1866.0
7186,0.0
1183,23.0
8266,13.0
5492,5815.0
3526,0.0
3607,484.0
7468,1.0
5286,2316.0
2904,99.0
3918,0.0
5508,609.0
2336,124.0
3483,219.0
3323,0.0
6358,326.0
2366,0.0
3513,3.0
5816,50.0
2000,189.0
3420,0.0
3369,22.0
7896,802.0
1547,152.0
1306,5.0
3054,95.0
5622,115.0
769,8.0
7969,2337.0
3759,44.0
2032,38.0
116,2305.0
8346,0.0
4705,0.0
2200,16.0
7297,113.0
7123,0.0
3104,448.0
8239,6.0
7653,0.0
360,0.0
5270,712.0
1130,0.0
7533,29.0
4762,0.0
4607,0.0
2012,0.0
5078,0.0
8435,137.0
6665,0.0
5252,1110.0
7736,0.0
1,620.0
1045,3948.0
6892,17.0
641,0.0
6647,2.0
4698,44.0
69,7.0
6696,561.0
6809,1689.0
1880,0.0
1694,5.0
5215,0.0
8229,0.0
3335,0.0
2353,0.0
4470,1373.0
7806,0.0
8376,134.0
4811,12.0
3201,0.0
4285,10.0
8509,2.0
925,79.0
1632,0.0
3746,3.0
1131,5.0
3148,29.0
1524,2.0
6629,4.0
417,251.0
5665,0.0
1301,0.0
4748,1.0
752,92.0
1423,16.0
2574,46.0
7127,14.0
1599,12.0
7079,10.0
1754,25.0
4075,0.0
1208,1.0
5609,31.0
3954,1905.0
1381,8.0
5325,0.0
5668,0.0
93,0.0
3651,99.0
8006,0.0
7921,34.0
3338,27.0
4877,0.0
7993,1947.0
3555,0.0
7848,205.0
7519,1.0
6701,0.0
229,185.0
6963,1295.0
204,0.0
3240,8.0
1702,4944.0
2324,2.0
8209,1171.0
7347,1374.0
4909,387.0
7383,123.0
7505,1.0
2299,4124.0
3468,325.0
7837,4617.0
3488,0.0
3799,37.0
4507,0.0
8653,5.0
3922,11.0
6586,3471.0
5137,27.0
5124,0.0
7371,75.0
5322,64.0
7683,0.0
7434,0.0
629,0.0
8253,870.0
6738,0.0
856,0.0
6009,1715.0
5054,2.0
8389,10063.0
421,5.0
430,0.0
4054,536.0
4957,1153.0
5345,2127.0
8281,0.0
7952,1.0
3992,184.0
5193,0.0
3668,0.0
8592,551.0
1950,58.0
8396,0.0
8477,429.0
68,148.0
8187,2.0
2321,5112.0
429,246.0
1374,41.0
5203,177.0
2833,27.0
7032,62.0
7965,9.0
4166,0.0
1396,5.0
251,877.0
3899,104.0
5951,13.0
3100,196.0
4691,0.0
6069,505.0
7376,0.0
1865,0.0
8610,228.0
2091,494.0
2222,5.0
3133,0.0
7015,127.0
7754,69.0
2715,0.0
967,1.0
3533,1049.0
2108,0.0
6180,3050.0
3896,3875.0
8539,307.0
4369,2514.0
6867,269.0
5141,0.0
3134,0.0
397,0.0
3350,552.0
3556,0.0
8007,4.0
3706,4956.0
4743,1213.0
1437,0.0
5340,106.0
6482,3.0
233,0.0
2705,1.0
2911,581.0
1725,100.0
7761,0.0
8221,0.0
6186,1430.0
2727,0.0
4843,2.0
3534,12.0
5741,67.0
7899,34.0
5149,3772.0
7268,147.0
376,53.0
1850,0.0
3235,295.0
5168,7660.0
6292,0.0
6298,10.0
2916,2.0
5216,1561.0
8242,0.0
2346,3.0
1007,85.0
7985,365.0
6866,1080.0
2365,208.0
7725,154.0
363,1.0
3621,0.0
6012,624.0
5413,349.0
3071,2.0
642,0.0
4204,138.0
226,126.0
1142,1393.0
3821,2.0
4824,541.0
1371,2.0
2552,43.0
5073,10.0
8314,622.0
891,0.0
1643,121.0
3024,3.0
2799,349.0
4426,16.0
5771,1.0
2059,100.0
1284,1589.0
4794,21.0
2081,1870.0
481,75.0
5401,0.0
4099,1159.0
6183,364.0
4523,27.0
5065,120.0
1209,18.0
8241,1302.0
8073,4.0
6096,1652.0
7914,2359.0
7670,2.0
4217,0.0
8255,0.0
1916,780.0
7382,0.0
2951,0.0
3795,157.0
827,271.0
3404,540.0
3867,10.0
1732,0.0
7435,227.0
4785,13.0
431,372.0
6592,0.0
1653,58.0
2301,1.0
3536,16.0
362,344.0
6651,13.0
3994,183.0
6703,9.0
5296,6.0
3749,454.0
4441,0.0
8510,2.0
5132,4.0
6679,11839.0
6537,551.0
5705,2718.0
1383,640.0
6236,0.0
4916,1.0
953,1.0
5549,213.0
4547,0.0
8438,815.0
4499,2709.0
1516,231.0
7871,14.0
1417,0.0
2828,616.0
7580,653.0
6108,0.0
704,101.0
6927,0.0
7130,89.0
3847,1076.0
6784,3016.0
5754,79.0
4798,0.0
617,517.0
4925,349.0
8517,7254.0
6613,1.0
3403,792.0
5944,2848.0
4055,54.0
5517,3244.0
5994,0.0
32,2059.0
6750,4635.0
3500,0.0
6366,0.0
6008,0.0
4010,53.0
2120,6844.0
8525,0.0
895,9.0
1438,17.0
1941,50.0
8326,43.0
5619,5432.0
1074,41.0
1152,104.0
2297,6341.0
7813,0.0
2495,0.0
4922,1.0
5407,0.0
852,0.0
6325,1137.0
3080,5149.0
4741,983.0
8457,406.0
8738,10.0
2044,6.0
549,149.0
8031,0.0
4250,0.0
3643,0.0
5022,320.0
2785,15.0
5525,1.0
979,0.0
591,0.0
8000,16.0
1806,4581.0
8642,2914.0
1073,0.0
3820,15.0
4855,950.0
3599,314.0
5768,421.0
6326,1219.0
5831,1.0
121,1029.0
1686,7982.0
896,102.0
5952,66.0
688,1005.0
7820,5064.0
6953,21.0
7411,25.0
6917,41.0
7457,0.0
6872,3.0
3573,1.0
8231,0.0
248,175.0
1578,0.0
6839,0.0
2250,0.0
2646,833.0
5192,135.0
4787,176.0
1904,4806.0
2781,4.0
4867,43.0
2860,12100.0
8343,142.0
6436,124.0
7752,0.0
19,405.0
4061,175.0
3972,0.0
6100,1624.0
4123,829.0
2463,8360.0
3445,94.0
2456,10060.0
995,6.0
7084,1.0
180,1385.0
1477,5865.0
3465,6.0
2525,1.0
499,0.0
5844,0.0
538,0.0
38,10.0
7866,7.0
3394,1662.0
5186,200.0
7945,2.0
5949,495.0
6221,20456.0
2156,7.0
7345,5.0
2645,125.0
1193,40.0
7836,112.0
5861,11.0
1077,1596.0
2872,13.0
3740,36.0
6474,870.0
1118,3870.0
7715,1015.0
5659,4.0
3326,0.0
7291,1294.0
1344,0.0
5852,234.0
4693,2753.0
2139,2947.0
7103,2165.0
391,4.0
6309,5.0
897,79.0
8458,10.0
7355,2792.0
5495,825.0
2371,80.0
8690,12.0
5304,0.0
3386,0.0
6137,2.0
2233,0.0
628,1146.0
6013,5312.0
8259,0.0
6858,76.0
1802,10.0
6085,329.0
2246,0.0
7097,0.0
8622,207.0
7953,247.0
1069,541.0
5748,3.0
6628,353.0
849,0.0
880,378.0
3984,1.0
2618,204.0
7869,53.0
2995,0.0
7666,0.0
5881,114.0
1476,211.0
1731,0.0
465,1179.0
2824,1.0
4049,9047.0
946,5994.0
3182,1.0
468,131.0
5261,0.0
4640,166.0
7809,47.0
7773,0.0
466,589.0
3356,8.0
8751,10.0
5636,205.0
5920,901.0
2792,238.0
2208,0.0
294,1762.0
5612,9229.0
2540,32.0
3839,801.0
3379,16.0
7301,929.0
5893,0.0
2028,0.0
603,4711.0
5946,406.0
2173,1.0
1579,2668.0
6167,643.0
6231,1184.0
2851,6299.0
4598,847.0
7074,181.0
6585,0.0
6291,0.0
4568,1.0
2033,3663.0
2099,18.0
1154,0.0
169,31.0
1363,656.0
473,9.0
7042,0.0
3118,0.0
2796,0.0
3169,11.0
2818,2.0
7067,429.0
4559,4002.0
1098,752.0
5693,14.0
4865,16.0
3412,2271.0
2868,110.0
5673,744.0
4574,1048.0
7606,956.0
5817,1.0
1789,253.0
3222,3.0
2420,309.0
4384,108.0
4382,0.0
2293,1777.0
2092,996.0
3958,12.0
5180,388.0
4754,2732.0
201,6135.0
3198,15.0
1286,0.0
2832,0.0
6939,1.0
8647,606.0
414,0.0
5174,0.0
7900,0.0
1263,0.0
991,0.0
6652,76.0
4641,494.0
8215,0.0
2310,3950.0
2010,0.0
4418,360.0
1245,6.0
4439,8.0
951,728.0
6644,3192.0
3478,107.0
873,67.0
7937,193.0
2035,0.0
3018,1130.0
1051,0.0
2817,0.0
3786,1496.0
6064,351.0
2565,0.0
5068,1.0
6744,582.0
199,521.0
4650,17.0
4502,70.0
5510,755.0
8164,842.0
1063,4.0
259,83.0
4328,1949.0
7793,120.0
383,0.0
198,73.0
3060,43.0
4181,0.0
8336,0.0
5135,4.0
4747,0.0
8680,78.0
4238,358.0
4875,1119.0
1902,0.0
1965,719.0
6725,413.0
3272,707.0
4776,0.0
7078,5087.0
7738,557.0
608,187.0
4522,1.0
7213,0.0
5169,4744.0
6855,3442.0
7760,741.0
2274,0.0
3263,0.0
7523,2981.0
4947,822.0
4606,0.0
6985,0.0
8077,166.0
3149,411.0
6171,2353.0
7628,23.0
2539,0.0
2286,767.0
4848,0.0
3733,50.0
5977,11.0
4380,3.0
3294,0.0
7755,26.0
3436,5234.0
6527,19.0
5973,0.0
7982,27.0
7596,1126.0
1683,2850.0
4783,4325.0
605,1.0
8591,3.0
492,3562.0
4660,0.0
5103,1172.0
1022,2.0
7531,239.0
6423,0.0
5621,369.0
6094,161.0
61,2447.0
5551,1143.0
4472,1404.0
356,1.0
72,0.0
3558,1334.0
7790,17.0
804,78.0
645,1.0
276,0.0
3903,0.0
1844,2.0
5847,2.0
2542,6.0
6555,2503.0
1386,2.0
4313,1803.0
5475,41.0
3683,10.0
7070,1.0
739,413.0
6539,1.0
6174,9162.0
2080,5.0
1068,36.0
3135,185.0
3051,0.0
1201,112.0
1924,69.0
2251,191.0
4834,7.0
5133,116.0
2219,2.0
3836,0.0
7365,239.0
1565,0.0
2094,182.0
4666,3320.0
8682,27.0
6472,0.0
596,49.0
4135,94.0
5,2.0
2789,0.0
5520,344.0
3995,0.0
5347,0.0
8668,2.0
4443,905.0
3267,5.0
2401,7.0
7131,45.0
2577,101.0
7171,0.0
5666,174.0
1500,37.0
4309,2225.0
1582,40.0
367,1575.0
6780,0.0
4954,84.0
1375,137.0
4323,0.0
6019,14.0
767,951.0
3224,908.0
7692,140.0
7247,0.0
7960,0.0
565,0.0
5202,0.0
4385,6105.0
1230,742.0
2413,0.0
6314,5106.0
101,161.0
4921,44.0
6532,3294.0
1820,0.0
6055,334.0
7053,11.0
1287,1664.0
1809,1576.0
6385,0.0
6004,0.0
7705,3.0
3121,1.0
6300,0.0
2490,12.0
664,14055.0
7400,252.0
8742,33.0
7844,258.0
5092,0.0
2388,6.0
7261,1315.0
5297,0.0
961,0.0
7239,1.0
7977,27.0
1252,1802.0
7499,865.0
5625,2246.0
7843,0.0
5529,8277.0
1698,87.0
2225,27.0
5398,0.0
6420,119.0
1502,918.0
8643,0.0
8663,0.0
3695,0.0
6416,7.0
7999,3652.0
2020,6.0
6897,0.0
6371,1625.0
1586,3941.0
8521,51.0
5436,43.0
3673,0.0
6373,1943.0
6702,137.0
6826,294.0
3874,247.0
6773,306.0
871,1054.0
1492,1244.0
347,2.0
4936,1418.0
712,4086.0
372,0.0
878,1771.0
7174,929.0
4764,0.0
2756,1042.0
301,6546.0
2457,0.0
8072,0.0
6276,137.0
1666,7.0
496,256.0
4556,387.0
2764,14.0
4394,0.0
2184,2359.0
462,0.0
5681,136.0
2931,1.0
8475,0.0
3461,4217.0
1312,3080.0
3200,1122.0
7861,997.0
573,1.0
2445,73.0
5915,1697.0
2598,134.0
4292,131.0
569,1.0
3582,1631.0
6968,6396.0
6615,492.0
4605,183.0
8487,101.0
1251,147.0
2171,34.0
2716,0.0
2659,449.0
7983,56.0
292,2062.0
6804,4152.0
3767,4451.0
5987,75.0
1270,0.0
4999,1121.0
4248,337.0
7557,585.0
3007,158.0
4935,38.0
3762,0.0
1988,219.0
813,0.0
582,20887.0
311,0.0
5139,1283.0
1340,0.0
2695,860.0
514,0.0
3715,3187.0
5563,1.0
2875,2322.0
7673,0.0
3911,0.0
5388,771.0
398,6.0
2773,0.0
5473,0.0
4182,1040.0
6125,4.0
4720,13441.0
2954,895.0
6239,3.0
1922,257.0
4165,1428.0
3049,220.0
7267,2183.0
1107,1.0
2160,305.0
3610,56.0
5877,0.0
5105,113.0
1878,0.0
4089,25.0
2473,0.0
4436,5772.0
8362,438.0
4934,0.0
1235,54.0
7808,0.0
921,26.0
20,24.0
3885,0.0
3438,977.0
2953,3.0
4722,113.0
5672,31.0
2074,0.0
4174,31.0
8699,190.0
5645,0.0
1346,4221.0
490,2.0
1862,7.0
7065,24.0
4652,676.0
8471,0.0
2217,0.0
4555,3689.0
588,410.0
5368,7.0
8379,22.0
2742,229.0
1187,21.0
5030,0.0
4211,1366.0
2811,1479.0
1721,0.0
1491,22.0
4504,0.0
3813,5050.0
6177,5.0
5941,5.0
7781,0.0
5848,0.0
1656,1613.0
4129,0.0
2710,23.0
2431,2571.0
7037,0.0
1545,1.0
5886,2563.0
3444,1.0
4216,11.0
7426,0.0
8330,393.0
2269,3.0
2197,10.0
1479,0.0
7657,4.0
691,5.0
5033,58.0
8256,133.0
5399,1.0
2518,0.0
6014,1082.0
772,1.0
853,7771.0
4593,390.0
2936,268.0
469,0.0
3602,0.0
2517,1.0
3174,136.0
2427,13521.0
6525,0.0
4000,0.0
2990,293.0
1575,1304.0
5565,0.0
6835,416.0
8029,5.0
7747,8136.0
3425,0.0
7269,139.0
1413,0.0
446,2989.0
6484,27.0
5837,306.0
5258,3.0
8618,0.0
1258,1349.0
2224,20.0
619,3981.0
4740,772.0
3194,1.0
2480,0.0
3869,655.0
8739,2.0
3947,6205.0
6486,1328.0
8760,86.0
4104,7385.0
1439,82.0
7583,1981.0
6791,10.0
890,0.0
3718,2113.0
6311,9.0
6515,152.0
3470,749.0
6478,426.0
1186,109.0
7039,33.0
1232,9.0
7600,0.0
4391,1.0
8495,2762.0
733,6.0
7353,94.0
1610,0.0
1480,7.0
2664,0.0
4142,0.0
5608,0.0
1436,0.0
5697,4.0
7918,0.0
1262,1230.0
2502,400.0
66,26.0
7981,0.0
6087,0.0
1441,199.0
6322,444.0
6942,716.0
5090,1633.0
6084,17.0
5617,143.0
3494,0.0
3895,1420.0
4122,1.0
1311,0.0
3638,11.0
5545,187.0
268,642.0
1680,295.0
3719,4.0
5352,0.0
5070,3.0
6674,0.0
7658,0.0
8212,3.0
5307,1.0
8568,50.0
3860,0.0
7897,316.0
5464,9.0
3357,0.0
7025,7.0
4024,0.0
507,1368.0
2327,4886.0
5724,0.0
3519,789.0
4664,751.0
4446,185.0
6889,6403.0
4832,18.0
6162,104.0
3157,1905.0
7495,0.0
479,5.0
7367,0.0
6937,0.0
8093,604.0
8004,729.0
8563,7.0
1839,1421.0
4180,0.0
3608,0.0
3966,89.0
3119,67.0
2350,2845.0
5803,2495.0
6860,105.0
4105,759.0
8460,51.0
2287,169.0
6697,888.0
7156,110.0
6756,60.0
3509,243.0
6229,305.0
2069,0.0
8596,0.0
1241,0.0
1466,539.0
8139,23.0
7038,0.0
8540,0.0
7008,2.0
7506,0.0
4482,1.0
8244,8.0
8368,0.0
1573,15.0
2848,247.0
2215,0.0
1558,0.0
5976,11.0
2262,703.0
1624,0.0
228,0.0
5173,2357.0
5579,76.0
6184,400.0
7444,112.0
8756,4738.0
6452,14.0
7939,6.0
2999,21.0
8195,140.0
7392,21.0
3510,3.0
1316,53.0
787,1.0
7972,0.0
2627,697.0
4289,260.0
339,261.0
6274,156.0
3729,23.0
5978,241.0
6282,16464.0
6214,1088.0
4388,6.0
677,10.0
6807,332.0
5099,7726.0
3421,0.0
5279,7.0
3218,417.0
5993,0.0
444,2059.0
3044,12.0
1275,1835.0
817,0.0
751,0.0
6623,55.0
7986,499.0
2232,202.0
6609,12126.0
5709,2714.0
3625,579.0
1835,184.0
6915,15.0
8267,677.0
4317,0.0
3103,151.0
8748,46.0
5896,1982.0
7800,412.0
252,956.0
1561,697.0
4644,0.0
3502,0.0
5315,454.0
3530,1.0
8375,8.0
7035,974.0
6415,169.0
2070,0.0
823,81.0
7735,3430.0
3775,0.0
8657,1.0
6511,7882.0
583,1305.0
5450,19.0
100,0.0
3288,251.0
1083,0.0
8276,77.0
7093,4.0
2535,65.0
2555,1877.0
3287,0.0
4674,217.0
477,0.0
4468,0.0
328,9562.0
7764,2293.0
1681,52.0
3926,0.0
1765,2.0
5759,6.0
6544,2.0
8012,3886.0
8444,1.0
6353,200.0
2009,198.0
7846,36.0
4319,259.0
2694,1.0
1215,0.0
4476,253.0
4066,298.0
6124,24.0
5533,4896.0
5710,146.0
7674,32.0
1645,1.0
6172,242.0
2734,0.0
4866,289.0
124,0.0
4828,1977.0
8614,1143.0
4927,201.0
8696,59.0
5004,3.0
4098,1105.0
5366,861.0
8282,9.0
1598,2210.0
2076,83.0
1100,0.0
3801,0.0
5980,347.0
6182,7444.0
2969,0.0
577,0.0
669,20.0
6560,0.0
1033,791.0
1214,5.0
4103,0.0
1044,383.0
2331,1.0
7193,6.0
2685,119.0
5359,76.0
7431,269.0
1522,2.0
6499,6599.0
6070,0.0
6954,14710.0
1391,0.0
5278,1607.0
6340,1.0
981,7206.0
812,2304.0
3474,1022.0
7556,29.0
5981,0.0
2652,1.0
1229,1.0
7862,687.0
8577,208.0
3226,5.0
213,682.0
2721,2296.0
4571,283.0
3743,387.0
2857,54.0
7503,0.0
6492,2612.0
5998,13919.0
1036,0.0
8707,515.0
8014,0.0
1473,6.0
451,0.0
8476,0.0
1020,333.0
841,47.0
5575,601.0
6948,1243.0
7930,0.0
680,35.0
1373,2.0
6078,4186.0
657,3.0
2561,42.0
2411,2.0
255,0.0
8045,151.0
6270,1973.0
7479,2265.0
5884,727.0
4001,185.0
2905,21.0
8702,3.0
4084,2520.0
3485,59.0
4539,23.0
263,19.0
1150,1.0
1189,0.0
6680,935.0
1808,0.0
3585,14.0
5809,7.0
